"id","journal","journal_en","ssh"
55,"中国卫生统计","China Health Statistics",1
56,"农机市场","Agricultural Machinery Market",1
57,"企业观察家","Corporate Observer",1
58,"沙漠与绿洲气象","Desert and Oasis Weather",1
59,"敦煌研究","Dunhuang Studies",1
60,"新疆农垦经济","Xinjiang Agricultural Reclamation Economy",1
61,"北方经贸","Northern Economy and Trade",1
62,"矿业工程","Mining Engineering",1
63,"新疆农业大学学报","Journal of Xinjiang Agricultural University",1
64,"世界经济与政治","World Economy and Politics",1
65,"纺织机械","Textile Machinery",1
66,"商业经济","Business Economy",1
67,"重庆与世界","Chongqing and the World",1
68,"中国实用医药","Practical Medicine in China",1
69,"世界农业","World Agriculture",1
70,"北京皮革","Beijing Leather",1
71,"民族语文","Ethnic Languages",1
72,"能源","Energy",1
73,"欧亚经济","Eurasian Economy",1
74,"党建","Party building",1
75,"中国石油企业","Chinese oil companies",1
76,"传媒","Media",1
77,"法音","Dharma Sound",1
78,"西部蒙古论坛","Western Mongolia Forum",1
79,"老字号品牌营销","Old Brand Marketing",1
80,"中国投资(中英文)","China Investment (English and Chinese)",1
81,"中国饲料","China Feed",1
82,"2022年体育非物质文化遗产学术大会摘要集","Abstracts of the 2022 Academic Conference on Intangible Cultural Heritage in Sports",1
83,"新疆大学学报(哲学社会科学版)","Journal of Xinjiang University (Philosophy and Social Science Edition)",1
84,"伊犁师范大学学报","Journal of Ili Normal University",1
85,"中国石化","Sinopec",1
86,"检察风云","Prosecution Storm",1
87,"国际中文教育(中英文)","International Chinese Language Education (Chinese and English)",1
88,"中国糖尿病杂志","Chinese Journal of Diabetes",1
89,"商展经济","Business Exhibition Economy",1
90,"草食家畜","Herbivorous livestock",1
91,"西安外国语大学学报","Journal of Xi'an International Studies University",1
92,"国际工程与劳务","International Engineering and Labor",1
93,"西北地质","Northwest Geology",1
94,"网络安全技术与应用","Network Security Technology and Applications",1
95,"新能源科技","New Energy Technology",1
96,"时代经贸","Times Business",1
97,"喀什大学学报","Journal of Kashgar University",1
98,"海峡科技与产业","Strait Technology and Industry",1
99,"中国农技推广","China Agricultural Extension",1
100,"新疆中医药","Xinjiang Chinese Medicine",1
101,"石河子大学学报(哲学社会科学版)","Journal of Shihezi University (Philosophy and Social Science Edition)",1
102,"文化创新比较研究","Comparative Study of Cultural Innovation",1
103,"腐植酸","Humic acid",1
104,"Chinese Journal of Applied Linguistics","Chinese Journal of Applied Linguistics",1
105,"北方论丛","North Series",1
106,"中国石油石化","China Petroleum & Petrochemical",1
107,"现代农机","Modern Agricultural Machinery",1
108,"科技经济市场","Technology and Economy Market",1
109,"大陆桥视野","Continental Bridge Vision",1
110,"河北农业科学","Hebei Agricultural Science",1
111,"世界宗教文化","World Religious Cultures",1
112,"滨州医学院学报","Journal of Binzhou Medical College",1
113,"China International Studies","China International Studies",1
114,"国际公关","International PR",1
115,"石油炼制与化工","Petroleum Refining and Chemicals",1
116,"小康","A small fortune",1
117,"对外经贸实务","Foreign Trade Practice",1
118,"黑龙江医学","Heilongjiang Medicine",1
119,"中国医学文摘(耳鼻咽喉科学)","China Medical Digest (Otolaryngology)",1
120,"西部探矿工程","Western Prospecting Project",1
121,"西部旅游","Western Travel",1
122,"电脑与信息技术","Computer and Information Technology",1
123,"陕西教育(高教)","Shaanxi Education (Higher Education)",1
124,"国际商务财会","International Business Accounting",1
125,"中国民族博览","China Ethnic Expo",1
126,"史学理论研究","Historical Theory Research",1
127,"畜牧兽医学报","Journal of Animal Husbandry and Veterinary Medicine",1
128,"实用妇科内分泌电子杂志","Electronic Journal of Practical Gynecological Endocrinology",1
129,"青年记者","Youth Journalists",1
130,"今日畜牧兽医","Veterinary Animal Husbandry Today",1
131,"当代农机","Contemporary Agricultural Machinery",1
132,"当代畜牧","Contemporary Livestock",1
133,"今日科技","Technology Today",1
134,"哈尔滨学院学报","Journal of Harbin College",1
135,"中国报业","China Newspaper Industry",1
136,"中国军转民","China Military to Civilian",1
137,"草业科学","Grassland Science",1
138,"宿州学院学报","Journal of Cebu College",1
139,"国际问题研究","International Studies",1
140,"新疆农业科学","Xinjiang Agricultural Science",1
141,"内蒙古煤炭经济","Inner Mongolia Coal Economy",1
142,"铀矿地质","Uranium Geology",1
143,"商事仲裁与调解","Commercial Arbitration and Mediation",1
144,"2022新疆标准化论文集","2022 Xinjiang Standardization Proceedings",1
145,"中国有色金属","China Nonferrous Metals",1
146,"佳木斯职业学院学报","Journal of Jiamusi Vocational College",1
147,"人民论坛","People's Forum",1
148,"黄河之声","Voice of the Yellow River",1
149,"国际关系研究","International Relations Research",1
150,"经济研究导刊","Journal of Economic Research",1
151,"青海民族研究","Qinghai Ethnic Studies",1
152,"石油沥青","Petroleum asphalt",1
153,"中国商论","China Business News",1
154,"合作经济与科技","Cooperative Economy and Technology",1
155,"故宫博物院院刊","Journal of the National Palace Museum",1
156,"机车车辆工艺","Rolling stock technology",1
157,"染整技术","Dyeing and Finishing Technology",1
158,"国际汉学","International Sinology",1
159,"沿海企业与科技","Coastal Enterprises and Technology",1
160,"大众考古","Popular Archaeology",1
161,"中国民族美术","Chinese Ethnic Art",1
162,"当代经济研究","Contemporary Economic Studies",1
163,"新疆警察学院学报","Journal of Xinjiang Police Academy",1
164,"畜牧兽医科学(电子版)","Animal Husbandry and Veterinary Science (electronic version)",1
165,"中国会展","China Exhibition",1
166,"苏州市职业大学学报","Journal of Suzhou Vocational University",1
167,"化学工程与装备","Chemical Engineering and Equipment",1
168,"纺织服装周刊","Textile & Garment Weekly",1
169,"中阿科技论坛(中英文)","Sino-Arab Forum on Science and Technology (in English and Chinese)",1
170,"焦作大学学报","Journal of Jiaozuo University",1
171,"建筑结构","Building Structure",1
172,"大匠之门34","Gate of the Great Artisan34",1
173,"资源与产业","Resources and Industries",1
174,"现代商业","Modern Business",1
175,"中国畜禽种业","China Livestock and Poultry Seed Industry",1
176,"智能印刷","Smart Printing",1
177,"哈尔滨工业大学学报(社会科学版)","Journal of Harbin Institute of Technology (Social Science Edition)",1
178,"烟台大学学报(哲学社会科学版)","Journal of Yantai University (Philosophy and Social Science Edition)",1
179,"解放军外国语学院学报","Journal of the PLA Foreign Language Institute",1
180,"新疆钢铁","Xinjiang Steel",1
181,"国际商务研究","International Business Studies",1
182,"当代经济","Contemporary Economy",1
183,"原生态民族文化学刊","Journal of Original Ethnic Culture",1
184,"饲料研究","Feed Research",1
185,"世界石油工业","World Oil Industry",1
186,"新农业","New Agriculture",1
187,"造纸信息","Paper Information",1
188,"洛阳师范学院学报","Journal of Luoyang Normal College",1
189,"黑河学院学报","Journal of Heihe Academy",1
190,"中国畜牧业","China Livestock Industry",1
191,"自动化应用","Automation Applications",1
192,"2022中国旅游科学年会论文集：旅游人才建设与青年人才培养","Proceedings of 2022 China Tourism Science Annual Conference: Tourism Talent Construction and Young Talent Cultivation",1
193,"东南传播","Southeast Communications",1
194,"人文地理","Human Geography",1
195,"承德石油高等专科学校学报","Journal of Chengde Higher Institute of Petroleum",1
196,"欧亚人文研究(中俄文)","Eurasian Humanities Studies (Chinese and Russian)",1
197,"品位·经典","Taste - Classic",1
198,"现代面粉工业","Modern Flour Industry",1
199,"科技与金融","Technology and Finance",1
200,"食品科学技术学报","Journal of Food Science and Technology",1
201,"基础医学与临床","Basic Medicine and Clinical",1
202,"中国储运","China Storage & Transportation",1
203,"工业技术经济","Industrial Technology and Economics",1
204,"现代营销(下旬刊)","Modern Marketing (Next Issue)",1
205,"矿产勘查","Mineral Exploration",1
206,"中国乳品工业","China Dairy Industry",1
207,"海相油气地质","Offshore oil and gas geology",1
208,"江南社会学院学报","Journal of Jiangnan Social College",1
209,"动物医学进展","Advances in Animal Medicine",1
210,"植物检疫","Plant Quarantine",1
211,"统一战线学研究","Research on United Front Studies",1
212,"坦克装甲车辆","Tank Armored Vehicles",1
213,"中国对外贸易","China Foreign Trade",1
214,"新疆大学学报(哲学·人文社会科学版)","Journal of Xinjiang University (Philosophy - Humanities and Social Sciences Edition)",1
215,"清史研究","Research on Qing History",1
216,"铁道机车与动车","Railroad Locomotives and Motive Power",1
217,"哈尔滨职业技术学院学报","Journal of Harbin Vocational and Technical College",1
218,"中国金属通报","China Metal Bulletin",1
219,"社会科学动态","Social Science News",1
220,"《上海法学研究》集刊2021年第13卷 总第61卷","Shanghai Journal of Legal Studies, Vol. 13, No. 61, 2021",1
221,"世界农药","World Pesticide",1
222,"中国乳业","China Dairy Industry",1
223,"陕西农业科学","Shaanxi Agricultural Science",1
224,"投资与创业","Investment & Entrepreneurship",1
225,"中华纸业","China Paper",1
226,"干旱区地理","Arid Zone Geography",1
227,"现代食品科技","Modern Food Technology",1
228,"华北电力大学学报(社会科学版)","Journal of North China Electric Power University (Social Science Edition)",1
229,"文化学刊","Journal of Culture",1
230,"皮肤病与性病","Dermatology and Venereal Diseases",1
231,"中国动物保健","China Animal Health",1
232,"读书","Reading",1
233,"中华老年多器官疾病杂志","Chinese Journal of Geriatric Multi-Organ Diseases",1
234,"农业展望","Agricultural Outlook",1
235,"地质与勘探","Geology and Exploration",1
236,"物探与化探","Physical and Chemical Exploration",1
237,"河北医药","Hebei Medicine",1
238,"安徽医科大学学报","Journal of Anhui Medical University",1
239,"新疆社会科学","Xinjiang Social Sciences",1
240,"商业研究","Business Research",1
241,"国际汉语教学研究","Research on International Chinese Language Teaching",1
242,"内蒙古民族大学学报(社会科学版)","Journal of Inner Mongolia University of Nationalities (Social Science Edition)",1
243,"税务与经济","Tax and Economy",1
244,"世界教育信息","World Education Information",1
245,"收藏家","Collector",1
246,"投资研究","Investment Research",1
247,"北华大学学报(社会科学版)","Journal of Beihua University (Social Science Edition)",1
248,"电影文学","Film Literature",1
249,"湖泊科学","Lake Science",1
250,"中国畜牧杂志","China Animal Husbandry Magazine",1
251,"中医药导报","Chinese Medicine Herald",1
252,"解剖学杂志","Journal of Anatomy",1
253,"石油化工技术与经济","Petrochemical Technology and Economics",1
254,"中国油脂","China Fats and Oils",1
255,"电气技术与经济","Electrical Technology and Economics",1
256,"安康学院学报","Journal of Ankang College",1
257,"印刷文化(中英文)","Printing Culture (English and Chinese)",1
258,"体育科技文献通报","Sports Science and Technology Literature Bulletin",1
259,"现代企业","Modern Enterprise",1
260,"塔里木大学学报","Journal of Tarim University",1
261,"黄金","Gold",1
262,"现代交际","Modern Intercourse",1
263,"国际博物馆(中文版)","International Museum (Chinese version)",1
264,"安徽工业大学学报(社会科学版)","Journal of Anhui University of Technology (Social Science Edition)",1
265,"保护·研究·传承——2021年中国体育非物质文化遗产国际会议墙报交流论文集","Preservation-Research-Heritage - Proceedings of the International Conference on Intangible Cultural Heritage in Sports in China 2021 Poster Exchange",1
266,"江苏商论","Jiangsu Business Theory",1
267,"医学与社会","Medicine and Society",1
268,"中国市场","China Market",1
269,"山西农经","Shanxi Agricultural Economics",1
270,"广东化工","Guangdong Chemical",1
271,"中国农业资源与区划","Agricultural Resources and Zoning in China",1
272,"广西社会科学","Guangxi Social Science",1
273,"内蒙古财经大学学报","Journal of Inner Mongolia University of Finance and Economics",1
274,"区域与全球发展","Regional and Global Development",1
275,"新疆地质","Xinjiang Geology",1
276,"山东纺织经济","Shandong Textile Economy",1
277,"中国音乐","Chinese Music",1
278,"外国文学动态研究","Research on the Dynamics of Foreign Literature",1
279,"内蒙古师范大学学报(哲学社会科学版)","Journal of Inner Mongolia Normal University (Philosophy and Social Science Edition)",1
280,"国外铁道机车与动车","Foreign railway locomotives and moving trains",1
281,"商业经济研究","Business Economics Research",1
282,"农村经济与科技","Rural Economy and Technology",1
283,"产业创新研究","Industrial Innovation Research",1
284,"新疆艺术(汉文)","Xinjiang Art (Chinese)",1
285,"城市发展研究","Urban Development Research",1
286,"国际检验医学杂志","International Journal of Laboratory Medicine",1
287,"陕西档案","Shaanxi Archives",1
288,"甘肃政协","Gansu CPPCC",1
289,"大众标准化","Popular standardization",1
290,"第十八届中国标准化论坛论文集","Proceedings of the 18th China Standardization Forum",1
291,"石油化工建设","Petrochemical construction",1
292,"武汉科技大学学报(社会科学版)","Journal of Wuhan University of Science and Technology (Social Science Edition)",1
293,"项目管理技术","Project Management Technology",1
294,"石河子科技","Shihezi Technology",1
295,"中国多媒体与网络教学学报(上旬刊)","China Journal of Multimedia and Network Teaching (Upper part of the journal)",1
296,"价格月刊","Price Monthly",1
297,"外国语言与文化","Foreign Languages and Cultures",1
298,"中国草食动物科学","Chinese Herbivore Science",1
299,"中国煤炭","China Coal",1
300,"石油地质与工程","Petroleum Geology and Engineering",1
301,"面向高质量发展的空间治理——2020中国城市规划年会论文集（14区域规划与城市经济）","Spatial Governance for High Quality Development - Proceedings of the 2020 China Urban Planning Annual Conference (14 Regional Planning and Urban Economy)",1
302,"东南国防医药","Southeast Defense Medicine",1
303,"民间文化论坛","Folk Culture Forum",1
304,"现代商贸工业","Modern Trade Industry",1
305,"伊犁师范学院学报","Journal of Ili Normal College",1
306,"Applied Geophysics","Applied Geophysics",1
307,"石油知识","Oil knowledge",1
308,"食品安全导刊","Food Safety Guide",1
309,"医学信息","Medical Information",1
310,"西南民族大学学报(人文社会科学版)","Journal of Southwest University for Nationalities (Humanities and Social Sciences Edition)",1
311,"中南民族大学学报(人文社会科学版)","Journal of Central South University for Nationalities (Humanities and Social Sciences Edition)",1
312,"钻探工程","Drilling Engineering",1
313,"西北美术","Northwest Art",1
314,"石材","Stone",1
315,"公共外交季刊","Public Diplomacy Quarterly",1
316,"现代世界警察","Modern World Police",1
317,"激光生物学报","Journal of Laser Biology",1
318,"服饰导刊","Apparel Guide",1
319,"现代农业","Modern Agriculture",1
320,"国际太空","International Space",1
321,"无锡商业职业技术学院学报","Journal of Wuxi College of Commerce and Technology",1
322,"中国性科学","Chinese Sex Science",1
323,"畜牧兽医科技信息","Animal Husbandry and Veterinary Science and Technology Information",1
324,"新疆农垦科技","Xinjiang Agricultural Reclamation Technology",1
325,"新疆财经","Xinjiang Finance",1
326,"农业经济","Agricultural Economy",1
327,"The World of Chinese","The World of Chinese",1
328,"中国俄语教学","Teaching Russian in China",1
329,"铜陵学院学报","Journal of Tongling College",1
330,"语言教育","Language Education",1
331,"中国牛业科学","China Cattle Science",1
332,"Contemporary International Relations","Contemporary International Relations",1
333,"建筑机械","Construction Machinery",1
334,"商场现代化","Mall Modernization",1
335,"三峡大学学报(人文社会科学版)","Journal of Three Gorges University (Humanities and Social Sciences Edition)",1
336,"情报杂志","Intelligence Magazine",1
337,"世界文学","World Literature",1
338,"中国医药导报","China Pharmaceutical Herald",1
339,"轻金属","Light Metals",1
340,"中国医学前沿杂志(电子版)","Chinese Journal of Frontiers in Medicine (electronic version)",1
341,"发展","Development",1
342,"北方民族大学学报","Journal of Northern University for Nationalities",1
343,"江苏师范大学学报(哲学社会科学版)","Journal of Jiangsu Normal University (Philosophy and Social Science Edition)",1
344,"畜禽业","Livestock industry",1
345,"中医学报","Chinese Medicine Journal",1
346,"畜牧兽医杂志","Journal of Animal Husbandry and Veterinary Medicine",1
347,"经济视角","Economic Perspective",1
348,"上海教育评估研究","Shanghai Education Evaluation Study",1
349,"现代食品","Modern Food",1
350,"河北工程大学学报(社会科学版)","Journal of Hebei Engineering University (Social Science Edition)",1
351,"历史研究","Historical Research",1
352,"潍坊学院学报","Journal of Weifang College",1
353,"疾病监测","Disease Surveillance",1
354,"心理学报","Psychology News",1
355,"甘肃畜牧兽医","Gansu Animal Husbandry Veterinarian",1
356,"公安学刊(浙江警察学院学报)","Journal of Public Security (Journal of Zhejiang Police Academy)",1
357,"东北亚经济研究","Northeast Asia Economic Study",1
358,"新疆艺术学院学报","Journal of Xinjiang Academy of Arts",1
359,"德州学院学报","Journal of Texas College",1
360,"能源研究与信息","Energy Research and Information",1
361,"中国棉花","China Cotton",1
362,"中国科技史杂志","Journal of Chinese History of Science and Technology",1
363,"兰州石化职业技术学院学报","Journal of Lanzhou Institute of Petrochemical Technology",1
364,"国际传播","International Communications",1
365,"文化与传播","Culture and Communication",1
366,"高等工程教育研究","Research on Higher Engineering Education",1
367,"西安石油大学学报(自然科学版)","Journal of Xi'an University of Petroleum (Natural Science Edition)",1
368,"中国标准化","China Standardization",1
369,"2021对外汉语博士生论坛暨第十四届对外汉语教学研究生学术论坛论文集","2021 Doctoral Forum on Chinese as a Foreign Language and Proceedings of the 14th Academic Forum on Teaching Chinese as a Foreign Language to Graduate Students",1
370,"世界中医药","World Chinese Medicine",1
371,"湖南生态科学学报","Hunan Journal of Ecological Sciences",1
372,"世界文化","World Culture",1
373,"创新创业理论研究与实践","Innovative Entrepreneurship Theory Research and Practice",1
374,"西部金融","Western Finance",1
375,"化工管理","Chemical Management",1
376,"国外铁道车辆","Foreign railroad cars",1
377,"农村科技","Rural Science and Technology",1
378,"博物馆管理","Museum Management",1
379,"黑龙江环境通报","Heilongjiang Environmental Bulletin",1
380,"中国经贸导刊(中)","China Economic and Trade Journal (C)",1
381,"中国集体经济","China's collective economy",1
382,"西北大学学报(哲学社会科学版)","Journal of Northwestern University (Philosophy and Social Science Edition)",1
383,"当代音乐","Contemporary Music",1
384,"民族翻译","Ethnic Translation",1
385,"中国心脏起搏与心电生理杂志","Chinese Journal of Cardiac Pacing and Cardiac Electrophysiology",1
386,"大众文艺","popular literature and art",1
387,"文物春秋","Heritage Spring and Autumn",1
388,"大学","University",1
389,"技术经济与管理研究","Technology Economics and Management Research",1
390,"西安交通大学学报(社会科学版)","Journal of Xi'an Jiaotong University (Social Science Edition)",1
391,"中共济南市委党校学报","Journal of the Party School of the CPC Jinan Municipal Committee",1
392,"音乐文化研究","Music Culture Research",1
393,"山东商业职业技术学院学报","Journal of Shandong Vocational College of Commerce and Technology",1
394,"现代隧道技术","Modern tunneling technology",1
395,"中国酒","China Wine",1
396,"石河子大学学报(自然科学版)","Journal of Shihezi University (Natural Science Edition)",1
397,"广东行政学院学报","Journal of Guangdong Administrative College",1
398,"铁道经济研究","Railway Economic Research",1
399,"中国粮油学报","Chinese Journal of Grain and Oil",1
400,"甘肃科技","Gansu Science and Technology",1
401,"清华金融评论","Tsinghua Financial Review",1
402,"大连理工大学学报(社会科学版)","Journal of Dalian University of Technology (Social Science Edition)",1
403,"社会科学文摘","Social Science Digest",1
404,"建筑砌块与砌块建筑","Building Blocks and Block Construction",1
405,"决策探索(下)","Decision-making exploration (below)",1
406,"轻纺工业与技术","Light textile industry and technology",1
407,"晋阳学刊","Journal of Jinyang Studies",1
408,"公关世界","PR World",1
409,"云南警官学院学报","Journal of Yunnan Police College",1
410,"水泥技术","Cement Technology",1
411,"美与时代(下)","Beauty and the Times (next)",1
412,"中国畜牧兽医","China Veterinary Animal Husbandry",1
413,"安徽商贸职业技术学院学报(社会科学版)","Journal of Anhui Vocational College of Commerce and Technology (Social Science Edition)",1
414,"陕西师范大学学报(哲学社会科学版)","Journal of Shaanxi Normal University (Philosophy and Social Science Edition)",1
415,"腐蚀与防护","Corrosion and Protection",1
416,"北方蚕业","Northern Sericulture",1
417,"艺术评鉴","Art Criticism",1
418,"教师教育学报","Journal of Teacher Education",1
419,"教育教学论坛","Education and Teaching Forum",1
420,"中国神经精神疾病杂志","Chinese Journal of Neuropsychiatric Disorders",1
421,"铁路采购与物流","Railroad procurement and logistics",1
422,"地震科学进展","Advances in Earthquake Science",1
423,"齐齐哈尔大学学报(哲学社会科学版)","Journal of Qiqihar University (Philosophy and Social Science Edition)",1
424,"鞍山师范学院学报","Journal of Anshan Normal College",1
425,"外国教育研究","Foreign Education Studies",1
426,"河北地质大学学报","Journal of Hebei University of Geosciences",1
427,"石油工程建设","Petroleum Engineering Construction",1
428,"天然气与石油","Natural Gas & Oil",1
429,"河北民族师范学院学报","Journal of Hebei National Teacher's College",1
430,"中央音乐学院学报","Journal of the Central Conservatory of Music",1
431,"锦州医科大学学报","Journal of Jinzhou Medical University",1
432,"资源信息与工程","Resource Information and Engineering",1
433,"河南农业","Henan Agriculture",1
434,"农业工程学报","Journal of Agricultural Engineering",1
435,"营销界","Marketing Community",1
436,"焊管","Welded Pipe",1
437,"湖北师范大学学报(哲学社会科学版)","Journal of Hubei Normal University (Philosophy and Social Science Edition)",1
438,"北京电影学院学报","Journal of Beijing Film Academy",1
439,"中国农机化学报","China Agricultural Chemistry News",1
440,"中国渔业质量与标准","China Fisheries Quality and Standards",1
441,"战略决策研究","Strategic Decision Research",1
442,"中国图书评论","China Book Review",1
443,"昌吉学院学报","Journal of Changji College",1
444,"中国生态农业学报(中英文)","Chinese Journal of Ecological Agriculture (in English and Chinese)",1
445,"食品与发酵工业","Food and Fermentation Industry",1
446,"西北农林科技大学学报(自然科学版)","Journal of Northwest Agriculture and Forestry University of Science and Technology (Natural Science Edition)",1
447,"科技管理研究","Technology Management Research",1
448,"新疆社科论坛","Xinjiang Social Science Forum",1
449,"开发研究","Development Research",1
450,"西安石油大学学报(社会科学版)","Journal of Xi'an Petroleum University (Social Science Edition)",1
451,"内蒙古师范大学学报(教育科学版)","Journal of Inner Mongolia Normal University (Education Science Edition)",1
452,"西部资源","Western Resources",1
453,"边疆经济与文化","Frontier Economy and Culture",1
454,"中央社会主义学院学报","Journal of the Central School of Socialism",1
455,"和平与发展","Peace and Development",1
456,"历史档案","History Archive",1
457,"品位经典","Taste Classics",1
458,"物流科技","Logistics Technology",1
459,"中国石油和化工标准与质量","China Petroleum and Chemical Standard and Quality",1
460,"中国国情国力","China's national conditions and power",1
461,"现代营销(经营版)","Modern Marketing (Business Edition)",1
462,"中国会展(中国会议)","China Convention and Exhibition (China Conference)",1
463,"资源节约与环保","Resource Conservation and Environmental Protection",1
464,"聚氯乙烯","Polyvinyl chloride",1
465,"卫星电视与宽带多媒体","Satellite TV and Broadband Multimedia",1
466,"对外传播","External dissemination",1
467,"智库时代","The Age of Think Tanks",1
468,"金融理论与教学","Financial Theory and Teaching",1
469,"农业工程","Agricultural Engineering",1
470,"云南大学学报(社会科学版)","Journal of Yunnan University (Social Science Edition)",1
471,"教育传媒研究","Educational Media Research",1
472,"民族文学研究","Ethnic Literature Studies",1
473,"欧亚人文研究","Eurasian Humanities Studies",1
474,"生物学教学","Teaching Biology",1
475,"北方园艺","Northern Gardening",1
476,"新闻与传播评论","News & Communication Review",1
477,"中国远洋海运","China Ocean Shipping",1
478,"兰州学刊","Lanzhou Journal",1
479,"计算机技术与发展","Computer Technology and Development",1
480,"中国全科医学","Chinese Family Medicine",1
481,"计算机应用研究","Computer Application Research",1
482,"电影评介","Movie Review",1
483,"东方艺术","Oriental Art",1
484,"中共乌鲁木齐市委党校学报","Journal of the Party School of the Urumqi Municipal Committee of the Communist Party of China",1
485,"山东畜牧兽医","Shandong Animal Husbandry Veterinary",1
486,"地震地磁观测与研究","Seismic geomagnetic observation and research",1
487,"北京劳动保障职业学院学报","Journal of Beijing Labor Security Vocational College",1
488,"税收经济研究","Tax Economics Research",1
489,"考古","Archaeology",1
490,"当代韩国","Contemporary Korea",1
491,"新疆农机化","Xinjiang Agricultural Mechanization",1
492,"中国矿山工程","China Mining Engineering",1
493,"质量安全与检验检测","Quality Safety and Inspection",1
494,"教育科学","Educational Sciences",1
495,"商讯","Business News",1
496,"生产力研究","Productivity Studies",1
497,"露天采矿技术","Surface Mining Technology",1
498,"中国社会科学评价","China Social Science Evaluation",1
499,"临床消化病杂志","Journal of Clinical Gastroenterology",1
500,"文化纵横","Culture",1
501,"河北企业","Hebei Enterprises",1
502,"军事文摘","Military Digest",1
503,"海外投资与出口信贷","Overseas Investment and Export Credit",1
504,"湖北经济学院学报(人文社会科学版)","Journal of Hubei College of Economics (Humanities and Social Sciences Edition)",1
505,"项目管理评论","Project Management Review",1
506,"浙江艺术职业学院学报","Journal of Zhejiang Arts Vocational College",1
507,"现代矿业","Modern Mining",1
508,"食品安全质量检测学报","Journal of Food Safety and Quality Inspection",1
509,"心血管病学进展","Advances in Cardiovascular Diseases",1
510,"西北成人教育学院学报","Journal of Northwest Adult Education Institute",1
511,"兵团教育学院学报","Journal of the Corps College of Education",1
512,"医学食疗与健康","Medical Food Therapy and Health",1
513,"2020中华口腔医学会口腔修复学专业委员会第十四次全国口腔修复学学术会议论文摘要汇编","2020 Compendium of Abstracts of the 14th National Conference on Restorative Dentistry of the Chinese Society of Stomatology",1
514,"中国风景园林学会2020年会论文集（下册）","Proceedings of the 2020 Annual Conference of the Chinese Society of Landscape Architecture (next volume)",1
515,"艺海","Art Sea",1
516,"社科纵横","Social Science Column",1
517,"美术大观","Fine Art View",1
518,"苏州工艺美术职业技术学院学报","Journal of Suzhou College of Arts and Crafts",1
519,"中国卫生事业管理","China Health Care Management",1
520,"山西大学学报(哲学社会科学版)","Journal of Shanxi University (Philosophy and Social Science Edition)",1
521,"经营管理者","Operating Managers",1
522,"财务与会计","Finance and Accounting",1
523,"农村新技术","New Rural Technology",1
524,"广州市第十二届健康教育与健康促进学术交流活动稿集","The 12th Guangzhou Health Education and Health Promotion Academic Exchange Program Collection",1
525,"中国外汇","China Foreign Exchange",1
526,"天水师范学院学报","Journal of Tianshui Normal College",1
527,"新疆医学","Xinjiang Medicine",1
528,"中国能源","China Energy",1
529,"国际纺织导报","International Textile Herald",1
