著者名	論文名	雑誌名	ISSN	出版者名	出版日付	巻	号	ページ	URL	URL(DOI)
村田 光司	キルギス共和国出土ローマ・東ローマ帝国貨幣と模倣貨	Heritex			2020	3		386-395	https://cir.nii.ac.jp/crid/1010290617273760641	
	中央アジア旧石器調査成果の刊行	奈文研ニュース			2020	77		6	https://cir.nii.ac.jp/crid/1010290617277862671	
	中央アジア文明における宗教信仰と儀礼	アフロ・ユーラシア内陸乾燥地文明			2020	８		15-21	https://cir.nii.ac.jp/crid/1010568455728383622	
和崎 聖日	旧ソ連中央アジアのスーフィズムと病気治療：ジャフル儀礼の手順について	アフロ・ユーラシア内陸乾燥地文明			2020	８		22-33	https://cir.nii.ac.jp/crid/1010568455728383873	
上川 通夫	歴史の復元と文化の創造―ウズベキスタンと日本のつながり―	愛知県立大学日本文化学部論集			2020	11		177-188	https://cir.nii.ac.jp/crid/1010568455825590784	
植月 学	キルギス共和国アク・ベシム遺跡における動物資源利用	帝京大学文化財研究所研究報告			2020	19		35-60	https://cir.nii.ac.jp/crid/1010572092223444741	
熊倉 潤	民族エリートと国民国家建設からみた中央アジア地域研究	アジア経済			2020	61 (3)		77-81	https://cir.nii.ac.jp/crid/1010576118606639872	
大野 旭	中央ユーラシア東部の文明史的興亡―ウズベキスタンのアラル海周辺を中心に	『アフロ・ユーラシア内陸乾燥地文明』			2020	Vol8		1-14	https://cir.nii.ac.jp/crid/1010849930808060928	
国武 貞克	タジキスタン南部ザラフシャン山脈南麓のフッジ遺跡発掘調査速報	第21回北アジア調査研究報告会			2020	21		9-12	https://cir.nii.ac.jp/crid/1010853567207592448	
国武 貞克	中央アジア西部における後期旧石器時代初頭（IUP）石器群の 解明を目指した発掘調査	アジアにおけるホモ・サピエンス定着プロセスの地理的編年的枠組み構築			2020	4		9-15	https://cir.nii.ac.jp/crid/1010853567207592454	
荒川 慎太郎	中央アジアの文字 系統と類型	沙漠学事典			2020	-		162-163	https://cir.nii.ac.jp/crid/1010853567230160128	
地田 徹朗	小アラル海南岸でのラクダ飼養の特徴について：2020年2月、カザフスタン出張報告	12.今村薫編著『遊牧と定住化』（中央アジア牧畜社会研究叢書2）			2020	2		19-27	https://cir.nii.ac.jp/crid/1010853567260674946	
	「中央アジア文明における宗教信仰と儀礼」	『アフロ・ユーラシア内陸乾燥地文明』			2020	8		15-21	https://cir.nii.ac.jp/crid/1010857593556414734	
藤本 透子	中央アジア草原地帯におけるコミュニティの再編と維持―カザフのアウルに着目して	本村真編『辺境コミュニティの維持―島嶼、農村、高地のコミュニティを支える「つながり」』ボーダーインク社			2020	-		179-215	https://cir.nii.ac.jp/crid/1011131405636888448	
藤本 透子	カザフスタンにおける伝統医療とエムシ（治療者）の活動	川田牧人・白川千尋・飯田卓編『現代世界の呪術―文化人類学的探究』春風社			2020	-		135-163	https://cir.nii.ac.jp/crid/1011131405636888449	
山藤 正敏	シルクロード天山北路の形成過程―キルギス共和国、チュー渓谷西部の考古学踏査（2018・2019年）―	第27回西アジア発掘調査報告会報告集 令和元年度考古学が語る古代オリエント			2020	2020		1-4	https://cir.nii.ac.jp/crid/1011131405744430208	
柳田 賢二	リンガフランカから単一言語話者の母語への影響による言語変化について －ウズベキスタンのロシア語リンガフランカとロシア語単一話者を題材に－（注：招待有り。掲載確定、校正済み)	SLAVISTIKA （注：XXXVは2020年3月刊行予定だったが、肺炎パンデミックのため刊行遅延中）			2020	XXXV			https://cir.nii.ac.jp/crid/1011412880608255104	
青木 健	飛鳥・奈良と汎ユーラシアのイラン文化11：キルギス・セミレチエ（七河地方）におけるゾロアスター教・マニ教遺跡（後篇）	奈良県立大学ユーロナラジア			2020	15		24-33	https://cir.nii.ac.jp/crid/1011412880753976192	
柿沼, 陽平	唐代安西四鎮関連遺址踏査記--中国新疆ウイグル自治区・キルギス北部・ロシアウラジオストク--	帝京史学	0911-4645	帝京大学文学部史学科	2020-02-29	35		173-203	https://cir.nii.ac.jp/crid/1050003824990667392	
アコマトベコワ, グリザット and Gulzat, Akmatbekova	キルギスにおける社会体制転換に伴う観光の変容 : ソ連時代経験者の観光実践を中心に	立教観光学研究紀要 = St. Paul's annals of tourism research			2020-03	22		31-42	https://cir.nii.ac.jp/crid/1050851242906601472	
中村, 友一	ムスリムNGOと地域紛争 : タジキスタン・山岳バダフシャン自治州の事例	現代社会研究科論集 : 京都女子大学大学院現代社会研究科紀要	1882-0921	京都女子大学	2020-03-15	014		115-126	https://cir.nii.ac.jp/crid/1050566774754294784	
有内, 則子	キルギス共和国ウスマ染の技術支援活動報告－イシククリブルーを目指して－	四国大学新あわ学研究所年報	2434-8031	四国大学新あわ学研究所	2020-03-20	2		7-14	https://cir.nii.ac.jp/crid/1050285700281542784	
岩野, 雅子 and 大場, 智美	日本とカザフスタンに見る大学教育改革：教育言語の英語化がもたらす未来	紀要 = Bulletin	1883-8480	多摩大学グローバルスタディーズ学部	2020-03-31	12		47-61	https://cir.nii.ac.jp/crid/1050566774708512384	
村上, 智見	ウズベキスタン，カフィル・カラ遺跡出土木彫板の保存修復	ラーフィダーン = al-Rāfidān = JOURNAL OF WESTERN ASIATIC STUDIES	0285-4406	国士舘大学イラク古代文化研究所	2020-03-31	41		21-33	https://cir.nii.ac.jp/crid/1051693803403574016	
イドリッソバ, アイナッシュ	レストラン事業発展の特徴 -カザフスタンと日本の比較-	経営学研究論集	1340-9190	明治大学大学院	2020-09-11	53		43-57	https://cir.nii.ac.jp/crid/1051693803406919168	
Odagiri, Nami	Patterns and Features of Kyrgyz-Russian Code-Switching in Bishkek	関西大学外国語学部紀要 = Journal of foreign language studies	1883-9355	関西大学外国語学部	2020-10	23		21-41	https://cir.nii.ac.jp/crid/1050567903536781184	
城倉, 正祥 and 田畑, 幸嗣 and 山藤, 正敏 and 高橋, 亘 and 山内, 和也 and アマンバエヴァ, バキット	キルギス共和国アク・ベシム遺跡の測量・GPR調査 -ラバト地区を中心に-	早稲田大学総合人文科学研究センター研究誌 = WASEDA RILAS JOURNAL	2187-8307	早稲田大学総合人文科学研究センター	2020-10-20	8		269-291	https://cir.nii.ac.jp/crid/1050005508516572288	
植月, 学 and 新井, 才二	キルギス共和国アク・べシム遺跡における動物資源利用	帝京大学文化財研究所研究報告	2433-8206	帝京大学文化財研究所	2020-11-30	19		35-60	https://cir.nii.ac.jp/crid/1050006144188288640	
森, 美智代	キルギス共和国チュー川流域出土の唐風石造仏教彫刻	帝京大学文化財研究所研究報告	2433-8206	帝京大学文化財研究所	2020-11-30	19		159-175	https://cir.nii.ac.jp/crid/1050287619164999424	
地田 徹朗	中央アジア・アラル海をめぐる境界の変容とスケールの政治	京都大学東南アジア地域研究研究所 CIRAS Discussion Paper			2021	103		5-20	https://cir.nii.ac.jp/crid/1010009142287699970	
地田 徹朗	小アラル海南岸でのラクダ飼養の特徴について：2020年2月、カザフスタン出張報告	今村薫編著『遊牧と定住化』（中央アジア牧畜社会研究叢書2）			2021	2		19-27	https://cir.nii.ac.jp/crid/1010009142287699974	
藤本 透子	聖者になる過程――カザフスタンにおける近代化の経験とイスラーム	長谷千代子・別所裕介・川口幸大・藤本透子編『宗教性の人類学――近代の果てに、人はなにを願うのか』京都：法蔵館			2021	-		174-202	https://cir.nii.ac.jp/crid/1010009142344704258	
川島 真	中央アジアの国々の安全保障観－中国の視点－	安全保障研究			2021	第3巻第3号		57-68	https://cir.nii.ac.jp/crid/1010013168661523457	
帯谷 知可	「よいスカーフ」と「悪いスカーフ」の攻防とその境界―現代ウズベキスタンのヴェール論争―	高尾賢一郎・後藤絵美・小柳敦史編『宗教と風紀―<聖なる規範>から読み解く現代』（岩波書店）			2021	0		36-61	https://cir.nii.ac.jp/crid/1010290617259086848	
山藤 正敏	シルクロード都市の新発見―キルギス共和国チュー渓谷西部における考古学踏査―	奈良文化財研究所紀要			2021	2021		30-31	https://cir.nii.ac.jp/crid/1010576118574329600	
国武 貞克	中央アジア西部における初期後期旧石器時代（IUP期）石器群の追求と日本列島到来の可能性	アジアにおけるホモ・サピエンス定着プロセスの地理的編年的枠組みの構築			2021	5		11-20	https://cir.nii.ac.jp/crid/1010853567207592450	
山藤 正敏	シルクロード天山北路の形成と展開―キルギス共和国、チュー渓谷西部の考古学踏査（2018・2019年）―	第28回西アジア発掘調査報告会報告集			2021	2021		72-75	https://cir.nii.ac.jp/crid/1010853567221185153	
村上 智見	ウズベキスタン共和国カフィル・カラ遺跡発掘調査2020年度までの成果－出土遺物に見るカフィル・カラの文化交流－	西アジア遺跡調査報告会報告集			2021	第28回		80-84	https://cir.nii.ac.jp/crid/1010853567227183617	
田中 周	中国-中央アジア関係にみる安全保障-経済開発のネクサス：新疆の反テロ政策を事例として	ユーラシアにおける移動・交流と社会・文化変容（新免康編著、中央大学出版部）			2021	中央大学政策文化総合研究所研究叢書30		23-38	https://cir.nii.ac.jp/crid/1010853567242881665	
	ウズベキスタン共和国カフィル・カラ遺跡発掘調査2020 年度までの成果－出土遺物に見るカフィル・カラの文化交流－	第28回 西アジア発掘調査報告会報告集－令和2年度 考古学が語る古代オリエント－			2021	28		80-84	https://cir.nii.ac.jp/crid/1010857593583393792	
西秋 良宏	北ユーラシアの旧人・新人交替劇―ウズベキスタン旧石器遺跡調査（2012-2019年）	第28回西アジア発掘調査報告会報告集			2021	28		62-65	https://cir.nii.ac.jp/crid/1010857593592602887	
地田 徹朗	小アラル海南岸でのラクダ飼養の特徴について：2020年2月、カザフスタン出張報告	今村薫編『遊牧と定住化』（中央アジア牧畜社会研究叢書2）名古屋学院大学			2021	2		19-27	https://cir.nii.ac.jp/crid/1010857593617461380	
地田 徹朗	環境と地理からみる中央アジア地域研究のあり方（特別連載「インタビューで知る研究最前線）	アジア経済			2021	61(3)		81-88	https://cir.nii.ac.jp/crid/1010857593617461390	
Bakhriddinov, Mansur Marufovich	ウズベキスタン共和国における国際法の受容に関する一考察 : 独立三〇周年を迎えるにあたって	法學研究 : 法律・政治・社会	0389-0538	慶應義塾大学法学研究会	2021-01	94	1	185-213	https://cir.nii.ac.jp/crid/1050288912137361280	
髙木, 丈也	ウズベキスタン、カザフスタンにおける韓国語教育	慶應義塾外国語教育研究		慶應義塾大学外国語教育研究センター	2021	18		91-101	https://cir.nii.ac.jp/crid/1050856660844348160	
福盛, 貴弘	トルクメニスタンと日本の教育交流 : 日本語で書かれた『トルクメン語入門』がトルクメニスタンに与えた影響	大東文化大学紀要. 人文科学	0386-1082	大東文化大学	2021-02-28	59		179-192	https://cir.nii.ac.jp/crid/1050008389824457088	
宗野, ふもと	住込みフィールドワークでテーマに出会う : ウズベキスタンの田舎暮らしとバザールの賑わい	筑波大学地域研究	09121412	筑波大学人文社会科学研究科 国際地域研究専攻	2021-03	42		55-65	https://cir.nii.ac.jp/crid/1050289166398531200	
斎藤, 千愛 and 笹瀬, 雅史	キルギス共和国カラコル市の学校教育と体育支援活動	山形大学教職・教育実践研究 = Bulletin of the Teacher Training Research Center, Yamagata University	1881-9176	山形大学教職研究総合センター	2021-03	16		60-69	https://cir.nii.ac.jp/crid/1050569225806191360	
千々布, 敏弥	専門職資本と授業研究の関係 : カザフスタン調査を基に	国立教育政策研究所紀要	1346-8618	国立教育政策研究所	2021-03	150		7-21	https://cir.nii.ac.jp/crid/1050570699974135680	
山名田, 静	ウズベキスタンの高等教育における女性の困難 － 当事者の語りに着目して	北星学園大学大学院論集 = Hokusei Gakuen University Graduate School Review	1884-5428		2021-03-15	12		1-20	https://cir.nii.ac.jp/crid/1050850313342399744	
アクマタリエワ, ジャクシルク	キルギス語とアルタイ語の補助動詞iy-/ jiber- の出現についての調査と考察	北方言語研究	21857121	日本北方言語学会	2021-03-20	11		233-248	https://cir.nii.ac.jp/crid/1050006198856835968	
Singh, Akanksha and シン, アカンクシャ	Analysis of Geopolitical Settings of Central Asian States in the 21st Century : Engagement of Regional and International Contestants	青山国際政経論集	0289-5129	青山学院大学国際政治経済学会	2021-05-31	106		93-110	https://cir.nii.ac.jp/crid/1050570187279028352	10.34321/22023
西條 結人	キルギスの大学における日本語非母語話者教師の授業文化ー日本語専攻学習者へのアンケート調査からー	教育学研究紀要			2022	67		86-91	https://cir.nii.ac.jp/crid/1010013168604913920	
	中央アジア・オアシス地帯における都市の成立と展開：ウズベキスタン共和国ミングテパ遺跡発掘調査（2021 年度）	第29回西アジア発掘調査報告会報告集：令和3年度考古学が語る古代オリエント			2022	-		18-22	https://cir.nii.ac.jp/crid/1010013168646931969	
和崎 聖日	第8章 妻の権利をめぐる人間模様―現代ウズベキスタンの「法」制度と運用	磯貝真澄・磯貝健一共編『帝国ロシアとムスリムの法』（昭和堂）			2022	なし		213-241	https://cir.nii.ac.jp/crid/1010294643603279494	
磯貝 健一	第4章 二種の判決文―中央アジア・シャリーア法廷の文書作成業務	磯貝真澄・磯貝健一共編『帝国ロシアとムスリムの法』（昭和堂）			2022	なし		107-138	https://cir.nii.ac.jp/crid/1010294643603279496	
	ウズベキスタン1992年憲法制定過程における歴史的文脈の影響	Nagoya University Asian Law Bulletin			2022	Vol. 7		23-46	https://cir.nii.ac.jp/crid/1010294643610853248	
村上 智見	ソグド王の離宮を掘るーウズベキスタン共和国カフィル・カラ遺跡（シャフリスタン地区）2021年度発掘調査－	第29回西アジア発掘調査報告会報告集 令和3年度 考古学が語る古代オリエント			2022	第29回		23-27	https://cir.nii.ac.jp/crid/1010294643623631744	
西秋 良宏	中央アジア山岳地帯の新石器時代―ウズベキスタン、カイナル・カマル遺跡の調査（2012-2019年）	考古学が語る古代オリエント-第29回西アジア発掘調査報告会予稿集			2022	29		14-17	https://cir.nii.ac.jp/crid/1010294643641571087	
AKMATALIEVA JAKSHYLYK	日本語の「出る」、「出す」とキルギス語のchyk-、chygar- の対応関係	北東アジア諸言語の記述と対照			2022	2		121-132	https://cir.nii.ac.jp/crid/1010576118577182208	
AKMATALIEVA JAKSHYLYK	キルギス語とアルタイ語の補助動詞chyk-「出る」の対照研究	北方言語研究			2022	12		39-52	https://cir.nii.ac.jp/crid/1010576118577182209	
江南 和幸	穀物澱粉添加による紙の改質ー４世紀中央アジア文書から江戸期刊本用紙 に見る	書物学			2022	19		4-12	https://cir.nii.ac.jp/crid/1010576118587261569	
影山 悦子	ウズベキスタン南部ファヤズテパ遺跡出土初期仏教壁画について	木俣元一・近本謙介（編）『宗教遺産テクスト学の創成』			2022	-		63-79	https://cir.nii.ac.jp/crid/1010576118624505730	
地田 徹朗	カザフスタンにおける放牧地利用の現状と問題点：「放牧地法」の制定とその意義	今村薫編著『自然適応と牧畜』（中央アジア牧畜社会研究叢書３）名古屋学院大学文化人類学研究室			2022	3		9-28	https://cir.nii.ac.jp/crid/1010857593532697856	
和崎 聖日	ムハンマド＝サーディク・ムハンマド＝ユースフの軌跡：ウズベキスタン・イスラームにおける非党派主義と中道主義の萌芽過程	アジア・アフリカ言語文化研究			2022	102		32-62	https://cir.nii.ac.jp/crid/1010857593551072771	
稲葉 和夫	中央アジア諸国における海 外直接投資の経済効果	名古屋学院大学論集 (社会科学編 )(名 古屋学院大学総合研 究所)			2022	58(4)		19-32	https://cir.nii.ac.jp/crid/1010857593564716544	
村上 智見 and 寺村 裕史 and 宇野 隆夫	ソグド王離宮を掘る －ウズベキスタン共和国カフィル・カラ遺跡（シャフリスタン地区）2021年度発掘調査－	第29回西アジア発掘調査報告会報告集－令和3年度考古学が語る古代オリエント－			2022	29		23-27	https://cir.nii.ac.jp/crid/1010857593583393794	
西秋 良宏	中央アジア山岳地帯の新石器時代―ウズベキスタン、カイナル・カマル遺跡の調査（2012-2019年）	第29回西アジア発掘調査報告会報告集			2022	29		14-17	https://cir.nii.ac.jp/crid/1010857593592603014	
地田 徹朗	カザフスタンにおける放牧地利用の現状と問題点：「放牧地法」の制定とその意義	今村薫編『自然適応と牧畜』（中央アジア牧畜社会研究叢書3）名古屋学院大学現代社会学部文化人類学研究室			2022	3		9-28	https://cir.nii.ac.jp/crid/1010857593617461389	
地田 徹朗	カザフスタン・小アラル海地域での牧畜ーー牧畜が災害復興に果たした役割とは何か	シンジルト編『目でみる牧畜世界――21世紀の地球で共生を探る』風響社			2022	－		62-73	https://cir.nii.ac.jp/crid/1010857593617461508	
宮崎 千穂	ウズベキスタンにおける新型コロナウィルス感染症対策	日本渡航医学会誌			2022	16-1		1-8	https://cir.nii.ac.jp/crid/1010857593619957376	
アクマタリエワ, ジャクシルク	キルギス語とアルタイ語の基礎語彙対照 : 217項目重要基礎語彙編	言語の普遍性と個別性	1884863X	新潟大学大学院現代社会文化研究科「言語の普遍性と個別性」プロジェクト	2022-03	13		1-21	https://cir.nii.ac.jp/crid/1050854882730349568	
菅沼, 健太郎 and アクマタリエワ, ジャクシルク	キルギス語の/rl/ 連続における /l/ の交替の再解釈	北方言語研究	21857121	日本北方言語学会	2022-03-20	12		21-37	https://cir.nii.ac.jp/crid/1050010457745538304	
アクマタリエワ, ジャクシルク	キルギス語とアルタイ語の補助動詞 čïk-「出る」の対照研究	北方言語研究	2185-7121	日本北方言語学会	2022-03-20	12		39-52	https://cir.nii.ac.jp/crid/1050010457773014656	
西條, 結人	同一社会文化を背景とするバイリンガルの文章構造の特徴 : キルギス語とロシア語における意見文の比較	ニダバ	0289-0089	西日本言語学会	2022-03-31	51		1-21	https://cir.nii.ac.jp/crid/1050291768726461696	
並木, 美砂子 and 東峰, 優人 and 岩間, 生華	日本とカザフスタンにおける鷹狩りを支える諸要素の比較 : 特に現在と過去の猛禽用餌調達について	帝京科学大学紀要 = Bulletin of Teikyo University of Science	1880-0580		2022-03-31	18		99-104	https://cir.nii.ac.jp/crid/1050854718694734464	
西村, 昭治	人総研シンポジウム抄録 : 日本―カザフスタン外交関係樹立30周年記念国際シンポジウム -産官学民連携による人間科学を基盤とした人材育成-	人間科学研究 = Waseda Journal of Human Sciences	1880-0270	早稲田大学人間科学学術院	2022-09-27	35	2	363-371	https://cir.nii.ac.jp/crid/1050575185867667200	
シガブディノフ, リナット[著] and 髙橋, 巖根[訳]	『中央アジアのタタール人』 : 第3章 19世紀末における中央アジアのタタール住民の人口と就業状況（1897年の人口調査から）	流通經濟大學論集 = The Journal of Ryūtsū Keizai University			2022-10-10	57	2	101(273)-112(284)	https://cir.nii.ac.jp/crid/1050294872217532288	
シガブディノフ, リナット[著] and 髙橋, 巖根[訳]	『中央アジアのタタール人』 : 第2章 トルキスタンにおけるタタールの新方式教育の発展と地域のムスリムへの影響（19世紀末から20世紀初頭）	流通経済大学社会学部論叢 = Journal of the Faculty of Sociology, Ryutsu Keizai University			2022-10-10	33	1	33-47	https://cir.nii.ac.jp/crid/1050576347194243456	
