著者名	論文名	雑誌名	ISSN	出版者名	出版日付	巻	号	ページ	URL	URL(DOI)
宮下 修一	第10章 ウズベキスタンにおける「法」の役割―担保法整備支援事業にみる一断面	堀川徹・大江泰一郎・磯貝健一編『シャリーアとロシア帝国 近代中央ユーラシアの法と社会』(臨川書店)			2014	-		256-276	https://cir.nii.ac.jp/crid/1010000782148216854	
	西アジア・中央アジアの音楽文化圏におけるマカームの旋法原理と演奏実践	中央・西アジア音楽文化の比較研究			2014	印刷中			https://cir.nii.ac.jp/crid/1010000782157389071	
	中央アジアの２弦の撥弦楽器考 - ウイグルのドゥタールを中心に	中央・西アジア音楽文化の比較研究			2014	印刷中			https://cir.nii.ac.jp/crid/1010000782157389072	
磯貝 健一	シャリーア法廷裁判文書の作成システム―帝政期中央アジアのカーディーと「タズキラ」	大江太一郎・堀川徹・磯貝健一編『シャリーアとロシア帝国』(臨川書店)			2014	なし		130-165	https://cir.nii.ac.jp/crid/1010000782158405000	
小森田 秋夫	カザフスタンにおける[陪審制]の導入	法政論集			2014			297-325	https://cir.nii.ac.jp/crid/1010000782158596096	
藤本 透子	カザフスタンの体制移行を生きる女性たち―草原の村の結婚と子育てを中心に	福原裕二・吉村慎太郎編『現代アジアの女性たち―グローバル化社会を生きる』新水社			2014	-		135-153	https://cir.nii.ac.jp/crid/1010000782196101133	
春田 晴郎	ローマ人と関連する可能性のあるイラン、ウズベキスタンの遺構	ヘレニズム～イスラーム考古学研究			2014	21		108-112	https://cir.nii.ac.jp/crid/1010000782205469312	
守屋 誠司	小学校低学年からの代数の指導について－カザフスタンの教科書を参考にして－	数学教育学会誌			2014	Vol.54No.1・2		35-48	https://cir.nii.ac.jp/crid/1010000782207363712	
守屋 誠司	小学校低学年からの代数の指導について－カザフスタンの教科書を参考にして－	数学教育学会			2014	2013/Vol.54/No.1･2		35-48	https://cir.nii.ac.jp/crid/1010000782207363746	
	ユーラシア古代遊牧社会形成の比較考古学－キルギス、ナリン川流域での日本－キルギス合同考古学調査（2013年）	平成25年度考古学が語る古代オリエント－第21回西アジア発掘調査報告会報告集－			2014	21		31-34	https://cir.nii.ac.jp/crid/1010000782240724129	
今村 薫	草原の民の末裔―カザフスタン予備調査報告―	アフロ・ユーラシア内陸乾燥地文明研究叢書			2014	８		189-207	https://cir.nii.ac.jp/crid/1010000782283073425	
今村 薫	「草原の民の末裔-カザフスタン予備調査」楊海英編『中央ユーラシアにおける牧畜文明の変遷と社会主義』	A-E 内陸乾燥地文明叢書			2014	8		189-207	https://cir.nii.ac.jp/crid/1010282257040698506	
大河内 美紀	「司法の独立」のグローバル化とその困難―ウズベキスタンの事例から考える	名古屋大学法政論集			2014	255号		519-553	https://cir.nii.ac.jp/crid/1010282257081468291	
河野 明日香	ウズベキスタンの社会教育施設	月刊社会教育			2014	No.707		44-45	https://cir.nii.ac.jp/crid/1010282257203900672	
河野 明日香	ウズベキスタンにおける社会教育と社会福祉	『コミュニティ・ガバナンスと社会教育福祉―欧米とアジアの比較研究 第3集』科研基盤（A）「コミュニティ・ガバナンスと社会教育福祉システムの構築に関する欧米とアジアの比較研究」（研究代表：松田武雄）			2014	3		28-32	https://cir.nii.ac.jp/crid/1010282257203900673	
堀川 徹	中央アジアの知の世界：イスラーム化の進展とティムール朝文化	堀川徹（編）『知の継承と展開：イスラームの東と西』			2014	1		103-130	https://cir.nii.ac.jp/crid/1010282257218362002	
磯貝 健一	シャリーア法廷裁判文書の作成システム――帝政期中央アジアのカーディーと「タズキラ」	シャリーアとロシア帝国――近代中央ユーラシアの法と社会			2014	１		130-165	https://cir.nii.ac.jp/crid/1010282257218362121	
宮下 修一	ウズベキスタンにおける「法」の役割――担保法整備支援事業に見る一断面	シャリーアとロシア帝国――近代中央ユーラシアの法と社会			2014	１		256-276	https://cir.nii.ac.jp/crid/1010282257218362126	
久米 正吾 and 岡田 保良 and 宮田 佳樹 and 大沼 克彦	ユーラシア古代遊牧社会形成の比較考古学：キルギス、ナリン川流域での日本-キルギス合同考古学調査（2013年）	平成25年度考古学が語る古代オリエント			2014	25		82-88	https://cir.nii.ac.jp/crid/1010282257223501973	
臼山 利信	民族国家語とロシア語─グローカル化する中央アジアの言語状況─	ロシア語学と言語教育			2014	IV			https://cir.nii.ac.jp/crid/1010282257227198473	
笠原, 俊宏	タジキスタン共和国家族法典中の国際私法規定	東洋法学 = Toyohogaku	0564-0245	東洋大学法学会	2014-01-15	57	2	59-67	https://cir.nii.ac.jp/crid/1050282813840230400	
岩尾, 一史	中央アジアの非漢字文献―チベット文献―	Modern Asian Studies Review	1880-7305	Toyo Bunko	2014-03	5		47-48	https://cir.nii.ac.jp/crid/1050001201666898176	
松井, 太	中央アジアの非漢字文献―ウイグル文献とモンゴル文献―	Modern Asian Studies Review	1880-7305	Toyo Bunko	2014-03	5		46-47	https://cir.nii.ac.jp/crid/1050001201678925056	
古庄, 浩明	〔報告〕ウズベキスタンにおける文化遺産保存修復技術実技講習と国際貢献	法華文化研究 = Journal of Institute for The Comprehensive Study of Lotus Sutra	0287-1513	法華経文化研究所	2014-03-20	40		35-51	https://cir.nii.ac.jp/crid/1050850556199261312	
岩垣, 穂大	カザフスタン共和国における伝統的祝祭ノウルーズと伝統飲料クムスに関する研究	人間科学研究	1880-0270	早稲田大学人間科学学術院	2014-03-26	27	1	58-58	https://cir.nii.ac.jp/crid/1050282677437794176	
野田, 仁	日本から中央アジアへのまなざし : 近代新疆と日露関係	イスラーム地域研究ジャーナル	1883-597X	早稲田大学イスラーム地域研究機構	2014-03-31	6		11-22	https://cir.nii.ac.jp/crid/1050001202460922752	
タスタンベコワ, クアニシ	<Ⅲ.博士論文概要>カザフスタンの言語教育政策に関する研究 : 母語教育保障の理念と実態に焦点を当てて	教育学論集		筑波大学大学院人間総合科学研究科教育基礎学専攻	2014-03-31	10		103-108	https://cir.nii.ac.jp/crid/1050001202542203008	
齋藤, 竜太	水資源問題をめぐる中央アジア国家間対立の実証分析 : ICWC紀要を資料に	筑波大学地域研究	09121412	筑波大学人文社会科学研究科 国際地域研究専攻	2014-03-31	35		163-182	https://cir.nii.ac.jp/crid/1050001202554041856	
トフタミルザエヴァ, マシフラホン and TUKHTAMIZAEVA, Mashkhurakhon	現代ウズベキスタンにおける教育の平等化をめざして : 関啓子『コーカサスと中央アジアの人間形成』を読んで (書評論文)	Quadrante : クァドランテ : 四分儀 : 地域・文化・位置のための総合雑誌	1344-5987	東京外国語大学海外事情研究所	2014-03-31	16		225-235	https://cir.nii.ac.jp/crid/1050564287662919680	
トフタミルザエヴァ, マシフラホン and 蒲生, 慶一 and ガモウ, ケイイチ and TUKHTAMIZAEVA, Mashkhurakhon and GAMOU, Keiichi	独立後のウズベキスタンにおける教育改革と就学率の変化 : 教育改革の今後の課題 (論文)	Quadrante : クァドランテ : 四分儀 : 地域・文化・位置のための総合雑誌	1344-5987	東京外国語大学海外事情研究所	2014-03-31	16		153-175	https://cir.nii.ac.jp/crid/1050564287662924544	
笠原, 俊宏	トルクメニスタン共和国家族法典中の国際私法規定	東洋法学 = Toyohogaku	0564-0245	東洋大学法学会	2014-03-31	57	3	331-339	https://cir.nii.ac.jp/crid/1050564288816946048	
胡, 振華 and 犬塚, 優司 (訳注) and Zhenhua, HU and Yuji, INUZUKA	中央アジアのドゥンガン民族と中国の回回民族	総合政策論叢	1346-3829		2014-09-22	28		77-83	https://cir.nii.ac.jp/crid/1050282676660344960	
穆, 淑恵 and 苗, 婧 (訳) and 犬塚, 優司 (訳注) and Shuhui, MU and Jing, MIAO and Yuji, INUZUKA	私が知っている中央アジアのドゥンガン人	総合政策論叢	1346-3829		2014-09-22	28		73-76	https://cir.nii.ac.jp/crid/1050282676665651200	
木村, 暁 and キムラ, サトル and Kimura, Satoru	ウズベキスタン伝存の西徳二郎書簡をめぐって	アジア・アフリカ言語文化研究 (Journal of Asian and African Studies)	0387-2807	東京外国語大学アジア・アフリカ言語文化研究所	2014-09-30	88		5-41	https://cir.nii.ac.jp/crid/1050282812686142720	
アサノワ, グリザル	〔調査報告〕キルギスの大学におけるシラパスと非母語話者教師の教師研修について	言語科学論集	1343-4586	東北大学大学院文学研究科言語科学専攻	2014-12-01	18		75-88	https://cir.nii.ac.jp/crid/1050282677748649728	
小松 久男	歴史の中の中央アジア―ゼンギーアタからの眺望	国際問題			2015	647号		6-15	https://cir.nii.ac.jp/crid/1010000781824613525	
西秋 良宏	「北ユーラシアの旧人・新人交替劇―第2次ウズベキスタン旧石器遺跡調査（2014年）」	『考古学が語る古代オリエント世界―第22回西アジア発掘調査報告会』			2015	22		14-19	https://cir.nii.ac.jp/crid/1010000782101287565	
藤本 透子	「歴史的祖国」への移住―カザフスタンにおける「帰還者」の生活と祝祭・宗教実践	小島敬裕編『移動と宗教実践―地域社会の動態に関する比較研究』CIAS Discussion Paper			2015	47		45-54	https://cir.nii.ac.jp/crid/1010000782196101134	
小松 久男	歴史のなかの中央アジア―ゼンギーアタからの眺望	国際問題			2015	647		6-15	https://cir.nii.ac.jp/crid/1010000782201137924	
	「中央アジア現地事情 D.カスィモヴァ氏の近著『ウイグリヤ』について」	『日本中央アジア学会報』			2015	第11号		67-73	https://cir.nii.ac.jp/crid/1010000782425604994	
長沼 秀幸	（書評）小沼孝博『清と中央アジア草原：遊牧民の世界から帝国の辺境へ』（東京大学出版会、2014年）	内陸アジア史研究			2015	30号		77-85	https://cir.nii.ac.jp/crid/1010282256814201989	
帯谷 知可	小松久男『激動の中のイスラーム―中央アジア近現代史」	イスラーム世界研究			2015	8		367-370	https://cir.nii.ac.jp/crid/1010282257172826245	
宇山 智彦	中央アジア諸国からみた国際環境の変化と対応：ロシアの政治的・軍事的影響力と中国の経済進出	国際問題			2015	647		16-27	https://cir.nii.ac.jp/crid/1010282257214508952	
宇山 智彦	近現代：中央アジア―19～21世紀	水島司・加藤博・久保亨・島田竜登編『アジア経済史研究入門』名古屋大学出版会			2015	―			https://cir.nii.ac.jp/crid/1010282257214508953	
青山 瑠妙	「中央アジア発展の国際的条件と日本」	外交			2015	34		21-33	https://cir.nii.ac.jp/crid/1010282257216530184	
清水 学	中央アジアの地政学と習近平政権の課題	東亜			2015	3		10-19	https://cir.nii.ac.jp/crid/1010282257218339742	
久米 正吾 and 早川 裕弌 and 宮田 佳樹	ユーラシア古代遊牧社会形成の比較考古学－キルギス、ナリン川流域での日本−キルギス合同考古学調査（2014年）－	日本西アジア考古学会編『平成26年度考古学が語る古代オリエント －第22回西アジア発掘調査報告会報告集－』			2015	22		60-65	https://cir.nii.ac.jp/crid/1010282257223501963	
大沼 克彦	ユーラシア古代遊牧社会形成の比較考古学－キルギス、クラマ遺跡の発掘調査（2014年）－	日本西アジア考古学会編『平成26年度考古学が語る古代オリエント －第22回西アジア発掘調査報告会報告集－』			2015	22		66-71	https://cir.nii.ac.jp/crid/1010282257223501964	
青山 瑠妙	座談会・中央アジア発展の国際的条件と日本	『外交』			2015	34		21-33	https://cir.nii.ac.jp/crid/1010282257262007198	
菊田 悠	ウズベキスタンのマハッラにおける経済・社会変化とイスラーム―2000年代を中心に	民族学博物館研究報告集			2015	(未定)			https://cir.nii.ac.jp/crid/1010282257470007424	
小田桐, 奈美	How to Deal with the Elements of Russian Origin : Developments of Orthographic Reforms for the Kyrgyz Language	関西大学外国語学部紀要 = Journal of foreign language studies	1883-9355	関西大学外国語学部	2015-03	12		69-80	https://cir.nii.ac.jp/crid/1050001202914040576	
風戸, 真理	乳製品の多様性と消費者の行動 : カザフスタンと北海道の事例より	北星学園大学短期大学部北星論集 = Hokusei Review, Junior College	1348-0820	北星学園大学	2015-03	13		61-71	https://cir.nii.ac.jp/crid/1050282812446627968	
小沼, 孝博 and Takahiro, Onuma	「異人」イメージの政治性：一八-一九世紀の清王朝と中央アジアの事例から (東洋文化講座・シリーズ「アジアの未知への挑戦 : 人・モノ・イメージをめぐって」講演録)	東洋文化研究 = Journal of Asian cultures	1344-9850	学習院大学東洋文化研究所	2015-03	17		335-357	https://cir.nii.ac.jp/crid/1050564287966373504	
帯谷, 知可	[研究報告5] 社会をよそおうオンナたち : ウズベキスタンにおけるイスラーム・ヴェール今昔	CIAS discussion paper No.50 : 世界のジャスティス --地域の揺らぎが未来を照らす--		京都大学地域研究統合情報センター	2015-03	50		35-43	https://cir.nii.ac.jp/crid/1050845760784715520	
小島, 康誉	スタイン中央アジア探検と日中共同隊	佛教大学宗教文化ミュージアム研究紀要	1349-8444	佛教大学宗教文化ミュージアム	2015-03-30	11		19-25	https://cir.nii.ac.jp/crid/1050006363692694272	
ウマロヴァ, グルバホル and 樋渡, 雅人	ウズベキスタンのマハッラ : 社会自治組織としての発展の歴史	地域経済経営ネットワーク研究センター年報	21869359	北海道大学大学院経済学研究科地域経済経営ネットワーク研究センター	2015-03-30	4		147-155	https://cir.nii.ac.jp/crid/1050845763948232576	
秋山, 徹	遊牧英雄からイスラーム的遊牧英雄へ- ロシア帝国の中央アジア統治と現地民コラボレーターの権威	イスラーム地域研究ジャーナル	1883-597X	早稲田大学イスラーム地域研究機構	2015-03-31	7		19-39	https://cir.nii.ac.jp/crid/1050001202469007232	
影山, 悦子	ユーラシア東部における佩刀方法の変化について : エフタルの中央アジア支配の影響	内陸アジア言語の研究	13415670	中央ユーラシア学研究会	2015-07-25	30		29-47	https://cir.nii.ac.jp/crid/1050845762635259904	
稲垣, 文昭	<登竜賞受賞作品 書評>塩谷哲史著（風響社、二〇一四年）『中央アジア灌漑史序説 --ラウザーン運河とヒヴァ・ハン国の興亡』	地域研究	1349-5038	京都大学地域研究統合情報センター	2015-11-30	16	1	274-278	https://cir.nii.ac.jp/crid/1050572012367247104	
シャミシエワ, ナズグリ	日本語とキルギス語の自動詞、他動詞における語彙化に関する一考察	日本語・日本文化研究	09182233	大阪大学大学院言語文化研究科日本語・日本文化専攻	2015-12-01	25		122-132	https://cir.nii.ac.jp/crid/1050845762628885504	
雲 和広	ウズベキスタンの人口動態	ウズベキスタンを知るための60章，帯谷知可編，明石書店．			2016	図書所収論文			https://cir.nii.ac.jp/crid/1010000781824874773	
東島 雅昌	中央アジア諸国における選挙制度の『改革』: 選挙権威主義体制下の選挙制度設計とその帰結	『選挙研究』			2016	31-2		62-76	https://cir.nii.ac.jp/crid/1010000781835264512	
武田 友加	「中央アジアにおける雇用・貧困問題と社会保護制度」	『新・現代中央アジア論（仮）』宇山智彦・樋渡雅人編著，日本評論社。			2016	-			https://cir.nii.ac.jp/crid/1010000781842383494	
帯谷 知可	(研究ノート）中央アジアのムスリム定住民女性とイスラーム・ヴェールに関する帝政ロシアの植民地主義的言説	西南アジア研究			2016	84		40-54	https://cir.nii.ac.jp/crid/1010000781903034757	
五十嵐 徳子	ロシアと中央アジアにおける労働力移動とジェンダーの変容	ドイツ統一から探るヨーロッパのゆくえ			2016	なし		158-17	https://cir.nii.ac.jp/crid/1010000781908027271	
河原 弥生	フェルガナ盆地のムジャッディディーヤ：ムジャッディディーヤ科研ウズベキスタン調査報告（うち「III.ムジャッディディーヤのフェルガナ盆地への伝搬」を執筆担当）	日本中央アジア学会報			2016	12		52-53	https://cir.nii.ac.jp/crid/1010000782270854145	
城倉 正祥	キルギス共和国アク・ベシム遺跡の発掘（2015秋期）調査	Waseda Rilas Journal			2016	No.4		43-71	https://cir.nii.ac.jp/crid/1010000782315499136	
渡邊 三津子	青果物流通の変化にともなうカザフスタン地域農業の変容	日本中央アジア学会報			2016	12		25-26	https://cir.nii.ac.jp/crid/1010000782320455168	
赤司 千恵	北ユーラシアの旧人・新人交替劇―第3次ウズベキスタン旧石器遺跡調査（2015年）	考古学が語る古代オリエント：第23回西アジア発掘報告会報告集			2016	23		64-69	https://cir.nii.ac.jp/crid/1010282256774332043	
河野 明日香	中央アジアにおける生涯学習・成人教育とコミュニティ施設	日本公民館学会年報			2016	13号		87-98	https://cir.nii.ac.jp/crid/1010282256805321477	
長沼 秀幸	カザフスタン・アルマトィとロシア・サンクト・ペテルブルグの本屋：歴史研究のなかでの本屋の位置づけ	アジ研ワールド・トレンド			2016	247号		32-35	https://cir.nii.ac.jp/crid/1010282256814201984	
河野 明日香	「中央アジアにおける生涯学習・成人教育とコミュニティ施設―ウズベキスタンのマハッラを事例として―」	日本公民館学会年報			2016	13		87-98	https://cir.nii.ac.jp/crid/1010282256838838401	
廣瀬 陽子	中露の狭間で揺れる中央アジア経済制裁	世界経済評論			2016	1,2		35-43	https://cir.nii.ac.jp/crid/1010282256844029958	
宮田 佳樹	ユーラシア古代遊牧社会形成の比較考古学 -キルギス、ナリン川流域での日本－キルギス合同考古学調査（2016年）-	平成28年度考古学が語る古代オリエント―第24回西アジア発掘調査報告会報告集―			2016	24		54-58	https://cir.nii.ac.jp/crid/1010282256871976476	
帯谷 知可	社会主義的近代とイスラームが交わるところ―ウズベキスタンのイスラーム・ベール問題からの眺め	村上勇介・帯谷知可編 融解と再創造の世界秩序			2016	なし		161-183	https://cir.nii.ac.jp/crid/1010282257172826241	
宇山 智彦	頑健な権威主義体制の行方：ウズベキスタン・カリモフ大統領の死	世界			2016	11		29-32	https://cir.nii.ac.jp/crid/1010282257214508820	
	ユーラシア古代遊牧社会形成の比較考古学：キルギス、ナリン川流域、イシク・クル域での日本−キルギス合同考古学調査（2015年）	日本西アジア考古学会編『平成27年度考古学が語る古代オリエント：第23回西アジア発掘調査報告会報告集			2016	23		70-75	https://cir.nii.ac.jp/crid/1010282257223501832	
五十嵐 徳子	ロシアと中央アジアにおける労働力移動とジェンダーの変容	天理大学EU研究会編、『ドイツ統一から探るヨーロッパのゆくえ』、法律文化社			2016	書籍所収論文		158-173	https://cir.nii.ac.jp/crid/1010282257258261785	
雲 和広	ウズベキスタンの人口動態	ウズベキスタンを知るための60章，帯谷知可編，明石書店．（図書所収論文）			2016	なし			https://cir.nii.ac.jp/crid/1010282257258261910	
東島 雅昌	中央アジア諸国における選挙制度の『改革』	選挙研究			2016	31-2			https://cir.nii.ac.jp/crid/1010282257261980930	
今堀 恵美	社会主義とイスラームの狭間で―ポスト社会主義後ウズベキスタンにおける豚の流通をめぐる調査報告―	佐々木史郎・渡邊日日（編）『ポスト社会主義以後のスラブ・ユーラシア世界―比較民族誌的研究-』			2016	―		151-178	https://cir.nii.ac.jp/crid/1010282257292235521	
今堀 恵美	「見えない仕事」、「見せない仕事」―ウズベキスタンの刺繍業における男性性	中谷文美・宇田川妙子（編）『仕事の人類学』			2016	1		25-45	https://cir.nii.ac.jp/crid/1010282257292235522	
斎藤, 完	ウズベキスタン共和国における伝統文化の保護 : ユネスコ無形文化遺産・ナウルーズの事例を中心に	研究論叢. 芸術・体育・教育・心理		山口大学教育学部	2016-01-29	65		79-86	https://cir.nii.ac.jp/crid/1050001337459107968	
斎藤, 完	シャルク・タロナラル（東洋音楽祭）の概要 : ウズベキスタン共和国による無形文化遺産保護に関する一断面	研究論叢. 芸術・体育・教育・心理		山口大学教育学部	2016-01-29	65		87-92	https://cir.nii.ac.jp/crid/1050845762389240320	
Korobochkina, Alena	中央アジア安全保障とSCO首脳会議2015	現代社会文化研究	13458485	新潟大学大学院現代社会文化研究科	2016-03	62		163-179	https://cir.nii.ac.jp/crid/1050845764184160768	
ヌルマンベトヴァ, アクベルメット	日本の対キルギス外交政策におけるODAの意義 : キルギス共和国日本人材開発ゼンターを事例に	筑波大学地域研究	09121412	筑波大学人文社会科学研究科 国際地域研究専攻	2016-03-31	37		93-114	https://cir.nii.ac.jp/crid/1050001202560347136	
峠, 嘉哉 and 田中, 賢治 and KHUJANAZAROV, Timur and 中北, 英一	中央アジア乾燥地自然植生の生理パラメータに関する検討	京都大学防災研究所年報. B	0386-412X	京都大学防災研究所	2016-06	59	B	360-366	https://cir.nii.ac.jp/crid/1050282810815102720	
森, 彰夫	キルギスタンにおける民族化された紛争	東北公益文科大学総合研究論集 : Forum 21	1880-6570	東北公益文科大学	2016-07-20	30		27-53	https://cir.nii.ac.jp/crid/1050002213338999296	
タスタンベコワ, クアニシ	<活動報告>カザフスタンとの教育・学術交流	筑波大学教育学系論集	0385-8979	筑波大学人間系教育学域	2016-10	41	1	97-98	https://cir.nii.ac.jp/crid/1050282677525132800	
小田桐, 奈美	キルギス語とロシア語のコード・スイッチングに関するパイロット研究	関西大学外国語学部紀要 = Journal of foreign language studies	1883-9355	関西大学外国語学部	2016-10	15		21-32	https://cir.nii.ac.jp/crid/1050282677892067200	
今村, 美帆子 and 渡邊, 司 and 阿部, 文絵 and 古西, 勇 and 瀧口, 徹	ウズベキスタンにおける環境問題と生活用水が及ぼす健康被害	新潟医療福祉学会誌	1346-8774	新潟医療福祉学会	2016-10	16	1	77-77	https://cir.nii.ac.jp/crid/1050565162619226496	
城倉, 正祥 and 山藤, 正敏 and ナワビ, 矢麻 and 山内, 和也 and アマンバエヴァ, バキット	キルギス共和国アク・ベシム遺跡の発掘 (2015年秋期) 調査	早稲田大学総合人文科学研究センター研究誌 = WASEDA RILAS JOURNAL	2187-8307	早稲田大学総合人文科学研究センター	2016-10-21	4		43-71	https://cir.nii.ac.jp/crid/1050282677439007744	
中村, 友一	中央アジアにおける麻薬取引と地域秩序	現代社会研究	1884-2623	京都女子大学現代社会学部	2016-12-20	019		5-20	https://cir.nii.ac.jp/crid/1050282812555335552	
島田 志津夫	フェルガナ州（ロシア領中央アジア）の民族状況：1917年統計資料にもとづいて（島田 志津夫（訳・解題））	Quadranteクァドランテ			2017	19		191-204	https://cir.nii.ac.jp/crid/1010000781824613506	
城倉 正祥 and 山藤 正敏 and 山内 和也	2017「キルギス共和国アク・ベシム遺跡の発掘（2015年秋期）調査出土遺物の研究―土器・磚・杜懐宝碑編―」	Waseda Rilas Journal			2017	5		145-175	https://cir.nii.ac.jp/crid/1010000781832799234	
青木 雅浩	ルスクロフ―中央アジアとモンゴルを股にかけた革命家	ロシア革命とソ連の世紀5			2017	5		67-68	https://cir.nii.ac.jp/crid/1010000781897935874	
ウメトバエワ カリマン	ソ連崩壊前後のクルグズ共和国とカザフスタンにおけるアイトゥシュ/アイトゥスの復興	ユーラシア研究			2017	56		65-68	https://cir.nii.ac.jp/crid/1010000781908225920	
城倉 正祥 and 山藤 正敏 and 山内 和也	キルギス共和国アク・ベシム遺跡の発掘（2015年秋期）調査出土遺物の研究―土器・セン・杜懐宝碑編―	WASEDA RILAS JOURNAL			2017	NO.5		1-31	https://cir.nii.ac.jp/crid/1010000781964118272	
斎藤 完	ウズベキスタン共和国におけるユネスコ無形文化遺産・ナウルーズの実践：国家主催によるナウルーズの祭典	山口大学教育学部研究論叢（第３部）			2017	66		107-116	https://cir.nii.ac.jp/crid/1010000782246689538	
今村 薫	カザフスタンにおける2種の家畜ラクダとそのハイブリッド飼育について	アフロ・ユーラシア内陸乾燥地文明研究叢書			2017	15		1-11	https://cir.nii.ac.jp/crid/1010000782290161282	
塩谷 哲史	中央アジア乾燥地域の都市と水資源―ヒヴァ―	歴史と地理 地理の研究			2017	196		66-73	https://cir.nii.ac.jp/crid/1010000782320103936	
辛嶋 静志	トルクメニスタン・メルブ出土説話集	『アジア仏教美術論集 中央アジアⅠ（ガンダーラ~東西トルキスタン）』			2017	－		167-196	https://cir.nii.ac.jp/crid/1010282256809490691	
田中 周	中央アジアからみた中国と日本	現代アジア学入門－多様性と共生のアジア理解に向けて－			2017	ー		183-199	https://cir.nii.ac.jp/crid/1010282256809496836	
青木 健	イスラーム以前のイランと中央アジアを結ぶもの：時間論を巡るゾロアスター教とヘルメス主義と仏教	立正大学 ユーラシア研究			2017	56		25-27	https://cir.nii.ac.jp/crid/1010282256817387392	
廣瀬 陽子	中露の狭間で揺れる中央アジア経済制裁	世界経済評論			2017	1,2		35-43	https://cir.nii.ac.jp/crid/1010282256844568449	
宮田 佳樹	ユーラシア古代遊牧社会形成の比較考古学 -キルギス、ナリン川流域での日本－キルギス合同考古学調査（2016年）-	日本西アジア考古学会編『平成28年度考古学が語る古代オリエント―第24回西アジア発掘調査報告会報告集―』日本西アジア考古学会			2017	24		54-58	https://cir.nii.ac.jp/crid/1010282256871973510	
山部 能宜	禅定窟」再考―インド・中央アジアから敦煌にいたる「ヴィハーラ」窟の展開	アジア仏教美術論集 中央アジアI ガンダーラ～東西トルキスタン			2017	3		473-498	https://cir.nii.ac.jp/crid/1010282256878408832	
