Author	Title	Journal	ISSN	Publisher	Date	Volume	Number	Page	URL	URL(DOI)
OBIYA Chika	ウズベキスタンの新しい歴史-ソ連解体後の「国史」叙述のいま	歴史叙述の現在-歴史学と人類学の対話(森明子編)			2002			146-169	https://cir.nii.ac.jp/crid/1010000781776278025	
OBIYA Chika	ウズベキスタン : 民族と国家の現在・過去・未来	地鳴りする世界 9.11事件をどうとらえるか(松原正毅編)			2002			97-141	https://cir.nii.ac.jp/crid/1010000781776278026	
	ロシアの対「同胞」政策と在外ロシア人-カザフスタンのケース	ロシア研究 34			2002			76-95	https://cir.nii.ac.jp/crid/1010282256734237572	
賀来, 公寛	歴史的な視野から見た中央アジアの経済発展に関する今後の課題について(ノート)	国際地域学研究 = Journal of regional development studies	1343-9057	東洋大学国際地域学部	2002-03	5		35-37	https://cir.nii.ac.jp/crid/1050001338861668864	
Kitamura, Toshiharu	Financial Reform in Uzbekistan	GITS/GITI Research Bulletin		早稲田大学大学院国際情報通信研究科国際情報通信研究センター	2002-07-31	2001-2002		1-7	https://cir.nii.ac.jp/crid/1050282677438992128	
ナギザデ,, モハマド and NAGHIZADEH,, Mohammad	苦悩するカザフスタンの農業部門について	明治学院大学国際学研究 = Meiji Gakuin review International & regional studies	0918-984X	明治学院大学国際学部	2002-09-20	22		39-65	https://cir.nii.ac.jp/crid/1050845764151483904	
KOMATSU Hisao	地域間比較の試み---中央アジアと中東	イスラーム地域研究の可能性(佐藤次高(編))			2003			49-76	https://cir.nii.ac.jp/crid/1010000781776278018	
OBIYA Chika	二〇世紀中央アジアにおけるある国家の終焉-ブハラの運命が語るもの	アジア新世紀2歴史 アジアの作られかた・つくりかた			2003			183-200	https://cir.nii.ac.jp/crid/1010000781776278024	
OBIYA Chika	ロシア革命期の中央アジアにおける『トルキスタン』の政治的領域をめぐって	中央ユーラシアにおける民族文化と歴史像(黒田卓他(編))(東北大学東北アジア研究センター叢書) 13号			2003			77-94	https://cir.nii.ac.jp/crid/1010000781776278027	
	カザフスタン共和国セミパラチンスク在住の核実験被曝者に対する健康状態聞き取り調査結果に関する検討	広島医学 56(3)			2003			189-192	https://cir.nii.ac.jp/crid/1010000781808543746	
SHINMEN Yasushi	カザフスタンのウイグル人社会における学校教育と民族文化	歴史と地理 566号			2003			1-15	https://cir.nii.ac.jp/crid/1010282256778734080	
KOMATSU Hisao	中央アジアのイスラーム復興 : フェルガナ地方を中心に	21世紀とイスラーム世界 : その多様性と現代的課題			2003			3-34	https://cir.nii.ac.jp/crid/1010282256778734086	
KOMATSU Hisao	イシャン : 中央アジアの聖者と政治	キーワードで読むイスラーム : 歴史と現在			2003			157-180	https://cir.nii.ac.jp/crid/1010282256778734087	
KOMATSU Hisao	地域間比較の試み : 中央アジアと中東	イスラーム地域研究の可能性			2003			49-76	https://cir.nii.ac.jp/crid/1010282256778734089	
笠原, 俊宏 and カサハラ, トシヒロ and Toshihiro, Kasahara	資料 カザフスタンの新しい国際私法	東洋法学 = Toyohogaku	0564-0245	東洋大学法学会	2003-03-01	46	2	97-123	https://cir.nii.ac.jp/crid/1050001338860451200	
賀来, 公寛	中央アジアにおける工業発展及び中小企業の役割に関する一考察--開発経済学の新しい課題	国際地域学研究 = Journal of regional development studies	1343-9057	東洋大学国際地域学部	2003-03	6		89-113	https://cir.nii.ac.jp/crid/1050282813838376448	
明瀬, 政治 and Masaharu, MYOSE	移行経済研究 : ウズベキスタン	愛知学泉大学コミュニティ政策学部紀要 = Bulletin of School of Community Policy, Aichi Gakusen University	13447939	Aichi Gakusen University	2003-12	6		99-116	https://cir.nii.ac.jp/crid/1050001338299567616	
樋渡 雅人	ウズベキスタンの慣習経済-マハッラの共同体的機能の検討から	アジア経済(アジア経済研究所) 50・4			2004			79-97	https://cir.nii.ac.jp/crid/1010000781592778113	
UEYAMA Daishun	中央アジア出土資料と仏教文化研究-敦煌出土資料研究からの発言	中国北方仏教文化研究における新視座(永田文昌堂)			2004			1-19	https://cir.nii.ac.jp/crid/1010000781776166019	
UEYAMA Daishun	中央アジア出土資料と仏教文化研究-敦煌出土資料研究からの発言	中国北方仏教文化研究における新視座(永田文昌堂)			2004			1-19	https://cir.nii.ac.jp/crid/1010000781776166302	
HORIKAWA Toru	中央アジアの古文書研究プロジェクト	歴史と地理 579			2004			57-61	https://cir.nii.ac.jp/crid/1010000781776277890	
KOMATSU Hisao	中央アジアにおけるイスラーム復興	イスラーム世界(片倉もとこ(編))(岩波書店)			2004			72-97	https://cir.nii.ac.jp/crid/1010000781776278019	
IWASAKI Ichiro	中央アジア諸国の改革・開発・環境:体制転換プロセスの立体的な把握に向けて	ロシア東欧貿易調査月報 10月号			2004			1-38	https://cir.nii.ac.jp/crid/1010000781776388097	
IWASHITA Akihiro	キルギスタン・タジキスタンの対外関係	イラク戦争後のプーチン政権の対中央アジア政策 (日本国際問題研究所)			2004			17-30	https://cir.nii.ac.jp/crid/1010000781803858820	
IWASHITA Akihiro	キルギスタン・タジキスタンの対外関係	イラク戦争後のプーチン政権の対中央アジア政策(日本国際問題研究所)			2004			17-30	https://cir.nii.ac.jp/crid/1010000781803858844	
清水 学	中央アジア・コーカサスの新たな課題-資源輸出型発展と重債務国の拡大の併存	ロシア・東欧経済論(吉井昌彦編)(ミネルヴァ書房)			2004			217-238	https://cir.nii.ac.jp/crid/1010000781888064768	
TAKEUCHI Tsuguhito	中央アジア出土チベット語木簡-その特徴と再利用-	木簡 26			2004			259-283	https://cir.nii.ac.jp/crid/1010000782490306451	
TAKEUCHI Tsuguhito	中央アジア出土のチベット語木簡-その特徴と再利用-	木簡 26号			2004			59-283	https://cir.nii.ac.jp/crid/1010000782490306710	
TAKEUCHI Tsuguhito	中央アジア出土のチベット語木簡-その特徴と再利用-	木簡 26			2004			259-283	https://cir.nii.ac.jp/crid/1010282256732234112	
	ロシアの対中央アジア外交	東アジアのロシア(横手慎二編)(慶應義塾大学出版会)			2004			111-131	https://cir.nii.ac.jp/crid/1010282256734237595	
	ロシアの対中央アジア外交	東アジアのロシア(横手慎二編)(慶応義塾大学出版会)			2004			111-131	https://cir.nii.ac.jp/crid/1010282256734237715	
間野 英二	十五・十六世紀,中央アジアにおける君臣儀礼-その1会見の儀礼-	東方学 109			2004			1-23	https://cir.nii.ac.jp/crid/1010282256753050119	
SHIMIIZU Manabu	中央アジアの「市場化」-ソ連型「社会主義」の解体プロセスとして-	混迷する国際社会と共生へのビジョン			2004			137-159	https://cir.nii.ac.jp/crid/1010282256760033417	
KOMATSU Hisao	中央アジアにおけるイスラーム復興	イスラーム世界			2004			72-97	https://cir.nii.ac.jp/crid/1010282256778734091	
YOSHIDA Setsuko	宴の作法 : 中央アジア北部農村クルグズ人の祝宴と振る舞い	アジア遊学 61号			2004			91-103	https://cir.nii.ac.jp/crid/1010282256778734217	
YOSHIDA Setsuko	宴の作法:中央アジア・北部農村クルグズ人の祝宴とふるまい	アジア遊学 61号			2004			91-103	https://cir.nii.ac.jp/crid/1010282256778734355	
TAMAKI Kazunori	中央アジア諸国の体制移行と上海協力機構	国士舘教養論集 56号			2004			1-12	https://cir.nii.ac.jp/crid/1010282256780572292	
	ウズベキスタン、フェルガナ地方におけるR市におけるイマーム・アリーの「影」とピール崇敬	アレヴィー/ベクタシ研究(アレヴィー/ベクタシ研究会編) (創刊号)			2004			1-7	https://cir.nii.ac.jp/crid/1010282256854522511	
OHNISHI Hiroshi	中国新彊自治区とカザフスタンとのコルガス・ルート国境貿易について	京大上海センターニュースレター(京都大学経済学研究科上海センター) 第24号			2004			5-6	https://cir.nii.ac.jp/crid/1010282256854566430	
UYAMA Tomohiko	中央アジア草原知識人・英雄群像	しゃりばり 266-271号(連載)			2004				https://cir.nii.ac.jp/crid/1010282256856255616	
	「トルクメニスタンの対外政策-ロシアとの天然ガス売買交渉を事例として」	『国際政治』 138			2004			100-116	https://cir.nii.ac.jp/crid/1010845151962232600	
	トルクメニスタンの対外政策_ロシアとの天然ガス売買交渉を事例として	国際政治 138			2004			100-116	https://cir.nii.ac.jp/crid/1010845151962232963	
本屋敷, 敏雄 and / /	ウズベキスタンに生息するダニ(Boophilus calcaratus)毒液からの血液凝固阻害物質の分離(発表論文抄録(2004))	福山大学薬学部研究年報 = Annual report of the Faculty of Pharmacy & Pharmaceutical Sciences, Fukuyama University			2004	22		54	https://cir.nii.ac.jp/crid/1050564287553909504	
Chida, Tetsuro	The Central-Republican Relationship and Party Elites in the Soviet Union : Kazakhstan (1980-1991)	Slavic Studies	05626579	北海道大学スラブ研究センター	2004	51		29-61	https://cir.nii.ac.jp/crid/1050845763931178880	
早田, 啓子	中央アジアとその周辺の宗教文化III	學苑 = GAKUEN	1348-0103		2004-03-01	762		113-122	https://cir.nii.ac.jp/crid/1050001202933864064	
成田, 真樹子	ウズベキスタンの直接投資動向と投資環境の変遷	長崎大学東南アジア研究年報	0547-1443		2004-03-25	45		1-12	https://cir.nii.ac.jp/crid/1050005822297196800	
福田, 浩子	中央アジアの刺繍布（スザニ）について	関西大学博物館紀要	1341-4895	関西大学博物館	2004-03-31	10		229-242	https://cir.nii.ac.jp/crid/1050282677890994944	
番原, 理 and バンバラ, タダシ	カザフスタンにおける物流の現状と問題点	物流問題研究	13462016	Ryutsu Keizai University	2004-06	44		15-37	https://cir.nii.ac.jp/crid/1050282677923258624	
及川, 俊信	定住と越冬 : ソビエト連邦期におけるカザフスタンの家畜飼育の事例から	千葉大学ユーラシア言語文化論集		千葉大学ユーラシア言語文化論講座	2004-08-31	7		13-23	https://cir.nii.ac.jp/crid/1050007072208391552	
早田, 啓子	中央アジアとその周辺の宗教文化 IV	學苑 = GAKUEN	1348-0103		2004-09-01	767		54-65	https://cir.nii.ac.jp/crid/1050001202933869696	
菅原, 純	批評と紹介 キム・ホドン著『中国の聖戦--中国領中央アジアにおけるムスリム反乱と国家(1864-1877)』	東洋学報 = The Toyo Gakuho	0386-9067	東洋文庫	2004-09	86	2	279-287	https://cir.nii.ac.jp/crid/1050282813830918912	
樋渡 雅人	ウズベキスタンのプライベート・トランスファー(私的資源移転)-社会保障機能の分析	アジア経済(アジア経済研究所) 46・4			2005			21-46	https://cir.nii.ac.jp/crid/1010000781592778114	
SHIMIZU Manabu	中央アジア世界とアフガニスタン-交流と断絶	アフガニスタン研究基礎ノート(鈴木均編)(明石書店)			2005			97-119	https://cir.nii.ac.jp/crid/1010000781776387969	
帯谷 知可	英雄の復活-現代ウズベキスタン・ナショナリズムのなかのティムール	イスラーム地域の国家とナショナリズム(イスラーム地域研究叢書5)			2005			185-212	https://cir.nii.ac.jp/crid/1010000781803377294	
IWASHITA Akihiro	中国と中央アジア : 接触地域の現場検証	ユーラシア国境政治 : ロシア・中国・中央アジア (岩下明裕編)(北海道大学スラブ研究センター)			2005			39-72	https://cir.nii.ac.jp/crid/1010000781803858689	
OBIYA Chika	中央アジア地域研究希少資料デジタル化の試み	地域研究 7(1)(印刷中)			2005				https://cir.nii.ac.jp/crid/1010000781808157696	
INENO Tsuyoshi	日露戦争前夜に中央アジアを旅した日本人	群馬県立女子大学紀要 26号			2005			111-123	https://cir.nii.ac.jp/crid/1010000781810487812	
MIFUNE Emi	中国の対中央アジア戦略と米中関係	世界週報(時事通信) 2005.12.13			2005			52-53	https://cir.nii.ac.jp/crid/1010000781880419478	
清水 学	国際河川を巡る政治経済学試論(中東・中央アジア)	ディスカッションペーパー(一橋大学大学院経済学研究科) 2004-6			2005			1-46	https://cir.nii.ac.jp/crid/1010000781888064771	
MIZUTANI Kuniko	ウズベキスタンの教育と文化	芦屋大学40周年記念論文集 第11巻			2005			103-135	https://cir.nii.ac.jp/crid/1010000781936405380	
MIZUTANI Kuniko	ウズベキスタンの教育と文化	芦屋大学40周年記念論文集 第II巻			2005			103-135	https://cir.nii.ac.jp/crid/1010000781936405521	
OBIYA Chika	中央アジア地域研究希少資料デジタル化の試み	地域研究 7巻1号			2005			185-195	https://cir.nii.ac.jp/crid/1010000781938089350	
雪合来堤 馬合木堤	中国本土・新疆・中央アジア諸国間国際連結計量経済モデルの構造とシミュレーション	調査と研究 第30号			2005			76-96	https://cir.nii.ac.jp/crid/1010282256582163200	
間野 英二	「十五・十六世紀、中央アジアにおける君臣儀礼-その一 会見の儀礼-	東方学 109			2005			1-23	https://cir.nii.ac.jp/crid/1010282256753050369	
ITO Toshio	中央アジア探検に,生涯を捧げたスヴェン・ヘディン	週刊シルクロード紀行 4号			2005			16-17	https://cir.nii.ac.jp/crid/1010282256778757635	
TABATA Riichi	キルギス最新事情-ミニ国家における独自戦略の困難さ-	ロシア東欧経済速報11月5日号 No.1345			2005				https://cir.nii.ac.jp/crid/1010282256854566291	
TABATA Riichi	キルギス最新事情-ミニ国家における独自戦略の困難さ-	ロシア東欧経済速報(ロシア東欧貿易会) No.1345			2005			1-10	https://cir.nii.ac.jp/crid/1010282256906680450	
	書評と紹介岩崎一郎、宇山智彦、小松久男編『現代中央アジア論-変貌する政治、経済の深層』	イスラム世界 65			2005			57-65	https://cir.nii.ac.jp/crid/1010282256908877833	
IWASHITA Akihiro	中国と中央アジア:接触地域の現場検証	「スラブ・ユーラシア学の構築」研究報告集ユーラシア国境政治-ロシア・中国・中央アジア- 8			2005			39-72	https://cir.nii.ac.jp/crid/1010282256908954131	
IWASHITA Akihiro	中国と中央アジア:接触地域の現場検証	ユーラシア国境政治(スラブ研究センター)			2005			39-72	https://cir.nii.ac.jp/crid/1010282256908954498	
WATANABE Teiji	タジキスタン共和国,タジク国立公園における野生動物資源の保全と持続的利用	北海道地理 80			2005			53-59	https://cir.nii.ac.jp/crid/1010282256912969216	
KANNO Hiroomi	中央アジアのドゥンガン語と小児錦の言語(朝鮮文)	Altai-Hagbo(アルタイ学報)(韓国アルタイ学会) 第15号			2005			169-191	https://cir.nii.ac.jp/crid/1010282256915082368	
	中央アジア諸国の現代化における伝統的地域社会のあり方と役割-ウズベキスタンの『マハッラ』を中心に	東洋文化研究所紀要 第166冊			2005			100-149	https://cir.nii.ac.jp/crid/1010282256926347008	
	社会主義後のウズベキスタンにおける政権支持、社会内信頼と市民参加	東洋文化研究所紀要 第168冊			2005			157-198	https://cir.nii.ac.jp/crid/1010282256926347011	
弦間, 正彦	独立以後の中央アジアにおける農業発展の要因分析	早稲田社会科学総合研究 = Waseda studies in social sciences	1345-7640	早稲田大学社会科学学会	2005-03	5	3	43-52	https://cir.nii.ac.jp/crid/1050001202460308864	
早田, 啓子	中央アジアとその周辺の宗教文化 V(人間文化学科特集)	學苑 = GAKUEN	1348-0103		2005-03-01	773		88-97	https://cir.nii.ac.jp/crid/1050282677909479040	
早田, 啓子	中央アジアとその周辺の宗教文化 VI	學苑 = GAKUEN	1348-0103		2005-09-01	779		83-93	https://cir.nii.ac.jp/crid/1050001202931669632	
鳥越, 隆士	障害分野における開発支援のエスノグラフィｰ : ウズベキスタン手話通訳養成計画への支援の取り組みから	兵庫教育大学研究紀要 : 学校教育・幼年教育・教育臨床・障害児教育・言語系教育・社会系教育・自然系教育・芸術系教育・生活・健康系教育・総合学習系教育	1349-3981	兵庫教育大学	2005-09	27		49-61	https://cir.nii.ac.jp/crid/1050001335863129856	
田渕, 五十生	シルクロードの世界遺産を訪ねて―ウズベキスタン歴史紀行―	高円史学	0914-5176	高円史学会	2005-10-01	21		51-68	https://cir.nii.ac.jp/crid/1050282812540335360	
岩﨑, 一郎	旧社会主義諸国の市場経済移行戦略に学ぶ : 『中央アジア体制移行経済の制度分析 : 政府-企業間関係の進化と経済成果』の研究成果と政策含意	NIRA政策研究	0914-6172	総合研究開発機構	2005-11	18	11	74-77	https://cir.nii.ac.jp/crid/1050564286101241728	
地田 徹朗	ソ連邦構成共和国共産党エリートの『移動』と『巡礼』:カザフスタン(1955・1991)	スラヴ文化研究 4			2006			65-80	https://cir.nii.ac.jp/crid/1010000781592776704	
MATSUYAMA Hiroshi	カザフスタンとブラジル〜二つの大国〜	地理 51(印刷中)			2006				https://cir.nii.ac.jp/crid/1010000781931484946	
OHKOHCHI Minori	キルギス共和国における憲法改正の動向	ユーラシア研究 35号			2006			71-73	https://cir.nii.ac.jp/crid/1010000781932189830	
OHKOHCHI Minori	翻訳・キルギス共和国憲法裁判所に関する法律	報告書『体制移行国における憲法適合性審査機関の役割』(名古屋大学法政国際教育協力研究センター他)			2006			195-204	https://cir.nii.ac.jp/crid/1010000781932189974	
OHKOHCHI Minori	翻訳・キルギス共和国における憲法裁判手続に関する法律	報告書『体制移行国における憲法適合性審査機関の役割』(名古屋大学法政国際教育協力研究センター他)			2006			205-222	https://cir.nii.ac.jp/crid/1010000781932189975	
UYAMA Tomohiko	クルグズスタンの革命とカザフスタンの安定:15年政治・社会変動の結果を分けたのは何か	ユーラシア研究 35号			2006			3-8	https://cir.nii.ac.jp/crid/1010000782442695302	
UYAMA Tomohiko	クルグズスタンの「革命」とカザフスタンの「安定」 : 15年の政治・社会変動の結果を分けたのは何か	ユーラシア研究 35号			2006			3-8	https://cir.nii.ac.jp/crid/1010000782442695682	
SUGAHARA Mutsumi	『クタドゥグ・ビリグ』から『五体清文鑑』まで-中央アジア・チュルク語アラビア文字正書法の変遷	ユーラシア諸言語の研究			2006			43-62	https://cir.nii.ac.jp/crid/1010000782448954759	
SUGAHARA Mutsumi	『クタドゥグ・ビリグ』から『五体清文鑑』まで -中央アジア・チュルク語アラビア文字正書法の変遷	ユーラシア諸言語の研究			2006			43-62	https://cir.nii.ac.jp/crid/1010000782448954893	
HAGA Mitsuru	ウズベキスタン共和国カンピール・テパ発掘調査速報(2006年度)	ヘレニズム～イスラーム考古学研究 13			2006			17-20	https://cir.nii.ac.jp/crid/1010000782448980994	
HAGA Mitsuru	人のすまい、民族のすまいー中央アジアのウズベキスタンでの美術・考古学予備調査を踏まえて	京都造形芸術大学比較藝術学研究センター紀要 1			2006			136-146	https://cir.nii.ac.jp/crid/1010000782448980995	
HAGA Mitsuru	ウズベキスタンの古代都市-2005年度のジェネラル・サーヴェイから	京都造形芸術大学紀要 10			2006			64-89	https://cir.nii.ac.jp/crid/1010000782448980996	
HAGA Mitsuru	ウズベキスタンの古代都市	京都造形芸術大学紀要GENESIS 10			2006			64-89	https://cir.nii.ac.jp/crid/1010000782448981015	
NAKAYAMA Yasunori	中央アジアにおける地形補正を考慮したADEOS II/GLI250mモザイクデータの作成	(社)日本リモートセンシング学会第41回(平成18年度秋季)学術講演会論文集			2006			177-178	https://cir.nii.ac.jp/crid/1010282256855974026	
NAKAYAMA Yasunori	中央アジアにおける地形補正を考慮したADEOSII/GLI250mモザイクデータの作成	(社)日本リモートセンシング学会第41回(平成18年度秋季)学術講演会論文集			2006			177-178	https://cir.nii.ac.jp/crid/1010282256855974047	
UYAMA Tomohiko	「個別主義の帝国」 ロシアの中央アジア政策 : 正教化と兵役の問題を中心に	スラヴ研究 53号(近刊)			2006				https://cir.nii.ac.jp/crid/1010282256856255619	
岩井 俊平	中央アジア壁画の放射性炭素14年代と美術史編年の比較	シルクロードの壁画が語る東西文化交流 コロキウム予稿集			2006			70-71	https://cir.nii.ac.jp/crid/1010282256926496513	
UYAMA Tomohiko	「個別主義の帝国」ロシアの中央アジア政策 : 正教化と兵役の問題を中心に	スラヴ研究 53号			2006			27-59	https://cir.nii.ac.jp/crid/1010282257409009548	
UYAMA Tomohiko	クルグズスタン(キルギス)の革命 : エリートの離合集散と社会ネットワークの動員	「民主化革命」とは何だったのか : グルジア、ウクライナ、クルグズスタン(21世紀COEスラブ・ユーラシア学の構築研究報告集16)			2006			41-77	https://cir.nii.ac.jp/crid/1010282257409009549	
UYAMA Tomohiko	クルグズスタンの「革命」とカザフスタンの「安定」 : 15年の政治・社会変動の結果を分けたのは何か	ユーラシア研究 35号			2006			3-8	https://cir.nii.ac.jp/crid/1010282257409009551	
UYAMA Tomohiko	中央アジアとコーカサス : 近くて遠い隣人?	しゃりばり((社)北海道総合研究調査会) 297号			2006			39-42	https://cir.nii.ac.jp/crid/1010282257409009552	
UYAMA Tomohiko	クルグズスタン(キルギス)の革命 : エリートの離合集散と社会ネットワークの動員	「民主化革命」とは何だったのか : グルジア、ウクライナ、クルグズスタン			2006			41-77	https://cir.nii.ac.jp/crid/1010282257426867593	
UYAMA Tomohiko	中央アジアとコーカサス・近くて遠い隣人?	しゃりばり 297			2006			39-42	https://cir.nii.ac.jp/crid/1010282257426867735	
Uyama, Tomohiko	Russia as a Particularist Empire : Policies of Christianization and Military Conscription in Central Asia	Slavic Studies	05626579	北海道大学スラブ研究センター	2006	53		27-59	https://cir.nii.ac.jp/crid/1050564288954527104	
川野, 徳幸	カザフスタン共和国セミパラチンスクにおける核被害解明の試み : アンケート調査を通して	IPSHU研究報告シリーズ	1342-5935	広島大学平和科学研究センター	2006-05	36		1-211	https://cir.nii.ac.jp/crid/1050001337946968448	
石山, 隆	中央アジア、特に中国西部の荒漠化の長期変動	千葉大学環境リモートセンシング研究センター年報 = Center for Environmental Remote Sensing, Annual report		千葉大学環境リモートセンシング研究センター	2006-06	11		5-5	https://cir.nii.ac.jp/crid/1050288547189048064	
三船, 恵美 and ミフネ, エミ and Mifune, Emi	中国の対中央アジア戦略と米中ロ関係	駒澤法学	13476599	駒澤大学法学部	2006-09	6	1	180[23]-156[47]	https://cir.nii.ac.jp/crid/1050001338236602112	
力提甫, 買買提	中央アジアにおける国際貿易の展開	北海学園大学学園論集	03857271	北海学園大学学術研究会	2006-09-25	129		1-18	https://cir.nii.ac.jp/crid/1050001337522052992	
小沼, 孝博 and オヌマ, タカヒロ and Onuma, Takahiro	清朝とカザフ遊牧勢力との政治的関係に関する一考察 : 中央アジアにおける「エジェン-アルバト」関係の敷衍と展開	アジア・アフリカ言語文化研究 (Journal of Asian and African Studies)	0387-2807	東京外国語大学アジア・アフリカ言語文化研究所	2006-09-30	72		39-63	https://cir.nii.ac.jp/crid/1050845762637388544	
SASAKI Tatsuo and SASAKI Hanae	中央アジア陶器の共通性と地域性	『第14回ヘレニズム〜イスラーム考古学研究』 14			2007			36-44	https://cir.nii.ac.jp/crid/1010000781877768193	
SUGIURA Kazutaka	中央アジア諸国における裁判の独立の実態とその基本的特徴-ウズベキスタンおよびカザフスタンを例として	社会体制と法 8号			2007			26-47	https://cir.nii.ac.jp/crid/1010000781932189825	
SUGIURA Kazutaka	中央アジア諸国における裁判の独立の実態とその基本的特徴	社会体制と法 第8号			2007			26-47	https://cir.nii.ac.jp/crid/1010000781932189964	
SUGIURA Kazutaka	ウズベキスタンにおける司法改革	杉浦一孝編「アジア法整備支援-体制移行国に対する法整備支援のパラダイム構築-」(2001年度〜2005年度・科学研究費補助金(特定領域研究))(研究成果報告書)『法整備支援と司法改革』 第7巻			2007			171-204	https://cir.nii.ac.jp/crid/1010000781932189967	
川野 徳幸	カザフスタン共和国セミパラチンスク核実験場近郊における被曝実態解明の試み:被曝証言調査を通して	日本カザフ研究会調査報告書 13			2007			35-52	https://cir.nii.ac.jp/crid/1010000781980481668	
高木 隆司	中央アジアの石刻絵画/Petroglyphs in Central Asia(和文英文併記)	科学研究費補助金報告書			2007			1-16	https://cir.nii.ac.jp/crid/1010000782430077328	
