Author	Title	Journal	ISSN	Publisher	Date	Volume	Number	Page	URL	URL(DOI)
菅原 睦	中央アジアにおけるテユルク語文学の発展とペルシア語	『ペルシア語が結んだ世界』(森本一夫編)北海道大学出版会 1			2009			131-146	https://cir.nii.ac.jp/crid/1010000782448954626	
菅原 睦	中央アジアにおけるテュルク語文学の発展とペルシア語	ペルシア語が結んだ世界(森本一夫編, 北海道大学出版会)			2009			131-146	https://cir.nii.ac.jp/crid/1010000782448954636	
HAGA Mitsuru	ウズベキスタン共和国カンピール・テパ	日本西アジア考古学会『古代オリエントの都市遺跡』			2009			13-19	https://cir.nii.ac.jp/crid/1010000782448980866	
HAGA Mitsuru	ウズベキスタン共和国カンピール・テパ遺跡第3次発掘調査	西アジア発掘調査報告会報告集 16			2009			125-130	https://cir.nii.ac.jp/crid/1010000782448980867	
HAGA Mitsuru	中央アジアのギリシア系都市を掘る-ウズベキスタン共和国カンパール・テパ遺跡第3次発掘調	日本西アジア考古学会-考古学が語るオリエント-西アジア発掘調査報告会 16			2009			125-130	https://cir.nii.ac.jp/crid/1010000782448981018	
HAGA Mitsuru	中央アジアのギリシア系都市を掘る-ウズベキスタン共和国カンパール・テパ-	日本西アジア考古学会-古代オリエントの都市遺跡-日本調査隊の活躍- 1			2009			13-19	https://cir.nii.ac.jp/crid/1010000782448981019	
SUZUKI Seiji	防災教育と情報津新技術(ICT)利用の可能性について:UN-ESCAP会議(キルギス共和国ビシュケク)での発表から	平成20年度グローバル化の中でのアジアの環境と生活文化-水・土・植物と人間の関係を通じて-			2009			15-23	https://cir.nii.ac.jp/crid/1010000782472262274	
SUZUKI Seiji	防災教育と情報通信技術 (ICT) 利用の可能性について : UN-ESCAP会議 (キルギス共和国ビシュケク) での発表から	平成20年度グローバル化の中でのアジアの環境と生活文化-水・土・植物と・人間の関係を通じて-			2009			15-23	https://cir.nii.ac.jp/crid/1010000782472262297	
河野 明日香	ウズベキスタンのマハッラにおける子どもの社会化とイスラーム	平成18年～20年度九州大学 教育研究プログラム・研究拠点形成プロジェクト アジア総合研究「アジア地域における人間の安全保障の観点による社会開発の新たなフレームワークの研究」報告書			2009			140-156	https://cir.nii.ac.jp/crid/1010000782481243393	
河野 明日香	キルギス・オシュなおける女性の諸活動-女性の自立と民族の架け橋をめざして	『世界の社会福祉年鑑2009第9集』旬報社(萩原康生他編) 9			2009			359-360	https://cir.nii.ac.jp/crid/1010000782481243520	
	中央アジアの市民社会組織からみた多元的共生の可能性	多元的共生を求めて(宇田川妙子編, 東信堂)			2009			162-174	https://cir.nii.ac.jp/crid/1010000782483741952	
	日本の対中央アジア協力の現状と課題ー機能主義の観点から	日本の中央アジア外交(宇山智彦、クリストファー・レン、廣瀬徹也編, 北海道大学出版会)			2009			97-114	https://cir.nii.ac.jp/crid/1010000782483741953	
稲垣 文昭	タジキスタンの水資源政策にみるアラル海流域問題―ソ連からの制度的遺産とエネルギーとしての水資源―	政策情報学会学会誌 3			2009			43-54	https://cir.nii.ac.jp/crid/1010282257008065568	
OSUGI Takuzo and OTANI Junko	中央アジア諸国におけるコミュニティ研究-女性のコミュニティ活動を中心に-	アジア女性研究			2009	第18巻		83-95	https://cir.nii.ac.jp/crid/1010282257015140355	
OTANI Junko and OSUGI Takuzo	人間開発指標(HDI)としてのHIV感染率と喫煙率にみる現代中央アジアの課題	第20回国際開発学会全国大会報告論文集			2009			352-355	https://cir.nii.ac.jp/crid/1010282257015140501	
OSUGI Takuzo and OTANI Junko	中央アジア諸国におけるコミュニティ研究-ウズベキスタン、タジキスタン、キルギスにおける女性のコミュニティ活動を中心に-	アジア女性研究 18			2009			87-96	https://cir.nii.ac.jp/crid/1010282257015140524	
KAWANO Noriyuki	カザフスタン共和国セミパラチンスク核実験被害に関する近郊住民インタビュー	核の被害再考 IPSHU研究報告シリーズ 松尾雅嗣編著 No.41			2009			109-119	https://cir.nii.ac.jp/crid/1010282257017635597	
UYAMA Tomohiko	特別座談会なぜ中央アジアを援助するのか(特集中央アジアからアフガンヘ--平和ロードマップ)	国際開発ジャーナル 632			2009			38-41	https://cir.nii.ac.jp/crid/1010282257041661340	
SUGAHARA Mutsumi	中央アジアにおけるテュルク語文学の発展とペルシア語	ペルシア語が結んだ世界-もうひとつのユーラシア史			2009	第4章		131-146	https://cir.nii.ac.jp/crid/1010282257043539361	
	中央アジアのイスラーム:宗教集団・過激派と政府の対応	ワセダアジアレビュー(早稲田大学アジア研究機構) N.6			2009			10-15	https://cir.nii.ac.jp/crid/1010282257069684354	
	カザフスタンにおける学校健康教育科目の必修化に関する基礎的検討(タイトル:ロシア語)	Актуальые вопросыформирования здорового образажизни 3-4			2009			30-36	https://cir.nii.ac.jp/crid/1010282257074212621	
OGIHARA Atsushi	カザフスタン共和国における学校健康教育科目開発の動向と課題	日本公衆衛生雑誌 56			2009			644	https://cir.nii.ac.jp/crid/1010282257074212623	
ONOZAWA Masaki	中央アジアと日本の交流の歩みと将来展望	移行体制下の中央アジア諸国における民族集団、宗教、言語文化の動態に関する研究(研究成果報告書)			2009			1-3	https://cir.nii.ac.jp/crid/1010282257405625231	
	中央アジアのイスラーム:宗教集団・過激派と政府の対応	ワセダアジアレビュー(早稲田大学アジア研究機構) No.6			2009			10-15	https://cir.nii.ac.jp/crid/1010282257405658001	
UYAMA Tomohiko	「中央アジアとコーカサス : 近くて遠い隣人」前田弘毅編	『多様性と可能性のコーカサス : 民族紛争を超えて』(北大出版会)			2009			31-58	https://cir.nii.ac.jp/crid/1010282257409009024	
UYAMA Tomohiko	研究案内 : 中央アジア・ロシアのイスラーム	前田弘毅編『多様性と可能性のコーカサス』北海道大学出版会			2009			31-58	https://cir.nii.ac.jp/crid/1010282257409009291	
SAKAI Hiroki	遊牧民の勇気(カザフスタン)	小長谷有紀編『新時代教育のツボ選書1昔話で親しむ環境倫理-エコロジーの心を育む読み聞かせ』(くろしお出版)			2009			65-83	https://cir.nii.ac.jp/crid/1010282257409009296	
ARAKAWA Masaharu	唐代中央アジアにおける帖式文書の性格をめぐって	敦煌・吐魯番出土漢文文書の新研究			2009			1-21	https://cir.nii.ac.jp/crid/1010282257409052687	
UYAMA Tomohiko	中央アジアとコーカサス : 近くて遠い隣人-	多様性と可能性のコーカサス : 民族紛争を超えて(前田弘毅(編))(北海道大学出版会)			2009			31-58	https://cir.nii.ac.jp/crid/1010282257426867584	
ASAMI Hiroshi and 金川 克子	タジキスタン共和国国別研修「母と子のすこやか支援プロジェクト」の評価-アンケート調査からみたアクションプランの実施状況-	石川看護雑誌 7			2009			87-96	https://cir.nii.ac.jp/crid/1010282257440376449	
東島 雅昌	選挙不正と権威主義の命運:比較の視座のなかのカザフスタンとキルギス	GCOE-GLOPEII Working Paper Series 17			2009			1-59	https://cir.nii.ac.jp/crid/1010282257458978945	
平林, 今日子 and 川野, 徳幸 and 松尾, 雅嗣	カザフスタン共和国セミパラチンスク核実験被害に関する近郊住民インタビュー	IPSHU研究報告シリーズ	1342-5935	広島大学平和科学研究センター	2009-01	41		109-119	https://cir.nii.ac.jp/crid/1050001337959304192	
Chida, Tetsuro	Grandiose Canal Construction Projects in Turkmenistan and the Aral Sea Problem in the Post-War Stalin Period	Slavic Studies	05626579	北海道大学スラブ研究センター	2009	56		1-36	https://cir.nii.ac.jp/crid/1050564288954518144	
志賀, 令明	駆け足のウズベキスタン	福島県立医科大学看護学部紀要	1344-6975	福島県立医科大学看護学部	2009-03	11		60-61	https://cir.nii.ac.jp/crid/1050001337586461952	
柳田, 賢二	ピジン・クレオール言語とコードスイッチングおよび中央アジアのリングァフランカとしてのロシア語について	東北アジア研究	1343-9332	東北大学東北アジア研究センター	2009-03	13		29-56	https://cir.nii.ac.jp/crid/1050282677704989824	
曽根, 志穂 and 金子, 紀子 and 金川, 克子	タジキスタン共和国における看護職の教育体系と就労の現状について	石川看護雑誌 = Ishikawa Journal of Nursing	1349-0664	石川県公立大学法人 石川県立看護大学	2009-03	6		85-90	https://cir.nii.ac.jp/crid/1050564287589757952	
古庄, 浩明	中央アジア・ウズベキスタンにおける遺構保存の現状と課題	21世紀アジア学会紀要		国士舘大学21世紀アジア学会	2009-03	7			https://cir.nii.ac.jp/crid/1050845762644694912	
庄司, ゆり子	On the situations of Oral mans in the republic of Kazahstan (opening articles)	異文化研究		山口大学人文学部異文化交流研究施設	2009-03-30	3		1-4	https://cir.nii.ac.jp/crid/1050850247214905344	
河野, 明日香 and 松田, 武雄 and KAWANO, Asuka and MATSUDA, Takeo	ポストソヴィエト期のウズベキスタンにおける教育改革と職業教育	Journal of the Research on Lifelong Learning and Career Education	18803148	名古屋大学大学院教育発達科学研究科附属 生涯学習・キャリア教育研究センター	2009-03-31	5		27-34	https://cir.nii.ac.jp/crid/1050282813778134144	
福田, 浩子	中央アジア・ウズベクの刺繍布（スザニ） : アイ・パラックと呼称される一群について	関西大学東西学術研究所紀要	0287-8151	関西大学東西学術研究所	2009-04-01	42		37-49	https://cir.nii.ac.jp/crid/1050001202914806144	
アクマタリエワ, ジャクシルク and Akmatalieva, Jakshylyk	キルギス語の授受を表わす補助動詞について	東京外国語大学日本研究教育年報(Japanese studies : research and education annual report)	2189311X	東京外国語大学日本課程	2009-04-01	11		1-20	https://cir.nii.ac.jp/crid/1050564287661896704	
芦川, 智 and 金子, 友美 and Satoru, ASHIKAWA and Tomomi, KANEKO	ウズベキスタンのイスラム都市の歩行者空間:アジアの歩行者空間に関する研究(その4)	學苑 = GAKUEN	1348-0103	昭和女子大学近代文化研究所	2009-07-01	825		2-13	https://cir.nii.ac.jp/crid/1050001202931714432	
野村, 政修 and ノムラ, マサノブ and Masanobu, Nomura	独立後のカザフスタンとウズベキスタンの農業 : ショック療法と漸進主義の結末	教養研究	13410504	Kyushu International University	2009-07	16	1	57-80	https://cir.nii.ac.jp/crid/1050282814200442112	
野田, 仁	中央アジア史研究への道(早稲田大学史学会・連続講演会「わたしと歴史学、わたしと考古学」)	史觀 = Shikan : the historical review	0386-9350		2009-09-25	161		120-122	https://cir.nii.ac.jp/crid/1050001202462412544	
IZUMI Takura	カザフスタン・トゥルゲン川扇状地でのクルガンの確認踏査-2008年度-	平成21年度考古学が語る古代オリエント 第17回西アジア発掘調査報告会報告集 平成21年度			2010			130-135	https://cir.nii.ac.jp/crid/1010000782031332240	
IZUMI Takura and 藤本 悠	カザフスタン・トゥルゲン川扇状地でのクルガンの確認踏査-2008年度-	『平成21年度考古学が語る古代オリエント』第17回西アジア発掘調査報告会報告集			2010			130-135	https://cir.nii.ac.jp/crid/1010000782031332360	
	タジキスタン国立古代博物館が所蔵するソグディアナ出土壁画の保存修復-カライ・カフカハ遺跡出土壁画KH7-1の事例-	保存科学 49			2010			265-274	https://cir.nii.ac.jp/crid/1010000782055356417	
HASUIKE Toshitaka	2009年タジキスタン方形拝火寺院発掘調査報告	新技術開発による文化財保護・修複科学研究 1			2010			1-28	https://cir.nii.ac.jp/crid/1010000782074458002	
HANAOKA Shinya	中央アジアを対象とした内陸国貨物輸送問題調査報告書	国際開発工学報告			2010				https://cir.nii.ac.jp/crid/1010000782076775045	
USUYAMA Toshinobu	「タジキスタン共和国ドシャンベ市における社会言語学的調査の実施報告-若者たちの言語意識を中心として-」、『第7回文明のクロスロード-ことば・文化・社会の諸相-』	日本学学際シンポジウム報告書			2010			41-53	https://cir.nii.ac.jp/crid/1010000782077614212	
HAGA Mitsuru	中央アジアのギリシア系都市を掘るー2009 年度ウズベキスタン共和国カンピール・テパ遺跡調査と同遺跡出土「ディニュソスとアリアドネ」テラコッター	考古学が語るオリエントー日本西アジア考古学会西アジア発掘調査報告会報告集 17			2010			136-141	https://cir.nii.ac.jp/crid/1010000782448980864	
河野 明日香	中央アジア諸国における社会開発と地域コミュニティ-ウズベキスタン、キルギス、タジキスタンにおけるコミュニティ観と地域社会教育の観点から-	『人間の安全保障と中央アジア』九州大学『比較社会文化叢書』18、花書院(13人中6番目)、分担蓍。(大杉卓三・大谷順子編蓍) 18			2010			100-128	https://cir.nii.ac.jp/crid/1010000782481243392	
	ウズベキスタン、タジキスタン-シルダリアに沿って-	シルクロード			2010	20		8-12	https://cir.nii.ac.jp/crid/1010282257015140488	
	カザフスタン-アルマティでの生活	シルクロード			2010	20		5-8	https://cir.nii.ac.jp/crid/1010282257015140489	
	カザフスタンの言語教育政策に関する一考察-「言語の三位一体」政策に焦点を当てて	比較教育学研究 41巻			2010			117-137	https://cir.nii.ac.jp/crid/1010282257015289731	
	カザフスタンの言語教育政策に関する一考察-在外帰還カザフ人(オラルマン)の言語問題に着眼して-	教育学論集 6巻			2010			83-103	https://cir.nii.ac.jp/crid/1010282257015289732	
INOSHITA Kenichi	ウズベキスタンにおける教育のグローバル化とナショナル・アイデンティティ	日本中央アジア学会報 6巻			2010			57-63	https://cir.nii.ac.jp/crid/1010282257015289733	
MORIOKA Syuichi	中央アジアにおける教育と発展-タジキスタンとカザフスタンの社会変動にケース・スタディーを中心に-	大妻女子大学コミュニケーション文化学会『コミュニケーション文化論集』			2010	第8号		89-112	https://cir.nii.ac.jp/crid/1010282257015289868	
TASUTANBEKOVA Kuanysh	カザフスタンの言語教育政策に関する一考察-「言語の三位一体」政策に焦点を当てて-	日本比較教育学会『比較教育学研究』			2010	41号		117-137	https://cir.nii.ac.jp/crid/1010282257015289870	
TASUTANBEKOVA Kuanysh	カザフスタンの言語政策に関する一考察……在外帰還カザフ人(オラルマン)の言語問題に着眼して	筑波大学『教育学論集』 6			2010			83-103	https://cir.nii.ac.jp/crid/1010282257015289876	
MINEI Akiko	ポストソ連時代における中央アジア諸国の教育戦略	ポストソ連時代における中央アジア諸国の教育戦略-中間報告書 1			2010			1-309	https://cir.nii.ac.jp/crid/1010282257015289877	
川本 正知	中央アジアにおける聖者崇拝の実態	朝倉世界地理講座5 中央アジア			2010	(未定)			https://cir.nii.ac.jp/crid/1010282257029385221	
ISOGAI Ken'ichi	中央アジア・イスラーム法廷における裁判システム-20世紀初頭サマルカンドのファトワー文書を中心として-	北海道大学スラブ研究センター共同利用・共同研究拠点公募プログラム・シンポジウム「北西ユーラシア歴史空間の再構築ロシア外部の史料を通じてみた前近代ロシア世界」報告書			2010			147-185	https://cir.nii.ac.jp/crid/1010282257045645329	
SASAKI Hanae and SASAKI Tatsuo	バーミヤーン産施釉陶器とウズベキスタン陶器	第17回ヘレニズム～イスラーム考古学研究			2010			33-45	https://cir.nii.ac.jp/crid/1010282257051169285	
OGIHARA Atsushi	カザフスタン共和国における学校健康教育科目開発の動向と課題(第2報)	日本公衆衛生雑誌			2010	57(10)		442	https://cir.nii.ac.jp/crid/1010282257074212619	
KUMO Kaznhiro	中央アジア地域の人的資源と社会状況:ロシアとの経済連関	『現代中央アジア・ロシア移民論』(堀江典生編)			2010			3-30	https://cir.nii.ac.jp/crid/1010282257445657370	
亀田, 政則	ウズベキスタン共和国,タシケント医学アカデミー・フェルガナ分校(Tashkent Medical Academy, Fergana Branch, The Republic of Uzbekistan)と福島県立医科大学看護学部との第2回国際学術交流およびシンポジウムに関する報告書	福島県立医科大学看護学部紀要	1344-6975	福島県立医科大学看護学部	2010-03	12		46-50	https://cir.nii.ac.jp/crid/1050845762516595328	
伴, 真由美 and 浅見, 洋 and 金川, 克子 and 西村, 真実子 and 大木, 秀一 and 曽根, 志穂	タジキスタン共和国国別研修「母と子のすこやか支援プロジェクト」の評価 アンケート調査からみたアクションプランの実施状況	石川看護雑誌 = Ishikawa Journal of Nursing	1349-0664	石川県公立大学法人 石川県立看護大学	2010-03	7		87-96	https://cir.nii.ac.jp/crid/1050845762566452096	
森岡, 修一	中央アジアにおける教育と発展 : タジキスタンとカザフスタンの社会変動に関するケース・スタディーを中心に	コミュニケーション文化論集	13479423	Otsuma Women's University	2010-03	8		89-112	https://cir.nii.ac.jp/crid/1050855035448100608	
TASTANBEKOVA, Kuanysh	<I. Articles>Issues of Language Education Policy in Kazakhstan in the Face of Language Problems of Kazakh Ethnic Immigrants	教育学論集		筑波大学大学院人間総合科学研究科教育基礎学専攻	2010-03-17	6		83-103	https://cir.nii.ac.jp/crid/1050001202553320960	
富田, 寿代 and 水谷, 令子 and Hisayo, TOMITA and Reiko, MIZUTANI	キルギスの生活用水	鈴鹿国際大学紀要Campana = Suzuka International University journal campana	1342-8802		2010-03-20	16		59-69	https://cir.nii.ac.jp/crid/1050001337643132928	
大川, 玲子	ウズベキスタンのウスマーン写本―「世界最古」のクルアーン（コーラン）写本―	明治学院大学国際学研究 = Meiji Gakuin review International & regional studies	0918-984X	明治学院大学国際学研究会	2010-03-25	37		87-93	https://cir.nii.ac.jp/crid/1050564289174789376	
カリーモワ, スライヤー and 木村, 暁	ウズベキスタンにおけるイスラーム期文献史料の研究 : 成果と課題	イスラーム地域研究ジャーナル	1883-597X	早稲田大学イスラーム地域研究機構	2010-03-31	2		64-76	https://cir.nii.ac.jp/crid/1050001202489490560	
アクマタリエワ, ジャクシルク and Akmatalieva, Jakshylyk	キルギス語(データ:「アスペクト」,テーマ企画:特集 「アスペクト」)	語学研究所論集 (Journal of the Institute of Language Research)	1341-9846	東京外国語大学語学研究所	2010-03-31	15		338-347	https://cir.nii.ac.jp/crid/1050564287660898560	
	カザフスタン南部の都市サウランの最新調査と新発見	金大考古 = The Archaeological Journal of Kanazawa University		金沢大学人文学類歴史文化学コース 大学院人間社会環境研究科 考古学研究室	2010-07-26	67		19-26	https://cir.nii.ac.jp/crid/1050845760861302912	
梅村, 坦	中央アジア出土資料をめぐる旅（2010年春期東洋学講座講演要旨）	東洋学報 = The Toyo Gakuho	0386-9067	東洋文庫	2010-09	92	2	189-191	https://cir.nii.ac.jp/crid/1050001339053247744	
Hiwatari, Masato	Mahalla in Uzbekistan and Mura in Japan : An International Comparative Perspective on Local Communities	Economic Studies	04516265	北海道大学大学院経済学研究科	2010-09-09	60	2	3-25	https://cir.nii.ac.jp/crid/1050564288960404224	
松山, 洋	シンポジウム 中央アジアのバルハシ湖流域における水資源問題	開発学研究	0918-9432	日本国際地域開発学会	2010-12	21	2	1-8	https://cir.nii.ac.jp/crid/1050001338730549504	
馬, 紅梅 and Hongmei, Ma and Matsuyama University,Faculty of Economics	中央アジアのエネルギー資源をめぐる中ロ関係	松山大学論集 = Matsuyama University review	0916-3298	松山大学総合研究所	2010-12-01	22	5	53-70	https://cir.nii.ac.jp/crid/1050845763388013312	
IRIYAMA, Miho	The Current State and Issues of Japanese Language Education in Kyrgyz Republic	Tsukuba Journal of Applied Linguistics	13424823	筑波大学大学院 博士課程 人文社会科学研究科 文芸・言語専攻 応用言語学領域	2010-12-20	17		85-98	https://cir.nii.ac.jp/crid/1050282677530216960	
HAGA Mitsuru	中央アジアの古代地中海文明と古代オリエント文明～ウズベキスタン共和国オクサス河畔ギリシア・クシャン系都市カンピール・テパの発掘現場から～	地中海学会月報			2011	336		5	https://cir.nii.ac.jp/crid/1010000782029680005	
KUMO Kazuhiro	タジキスタンの国際労働移民と海外送金	経済研究 第62巻第2号			2011			113-128	https://cir.nii.ac.jp/crid/1010000782093643904	
ISOGAI Ken'ichi	ウズベキスタンの「イスラーム法廷文書」	ユーラシア研究			2011	45		58-60	https://cir.nii.ac.jp/crid/1010000782148216724	
ISOGAI Ken'ichi	ウズベキスタンの『イスラーム法廷文書』	ユーラシア研究(東洋書店)			2011	45		233-250	https://cir.nii.ac.jp/crid/1010000782148216980	
HORI Shin'ichiro	ロシア科学アカデミー東洋写本研究所所蔵中央アジア出土サンスクリット断片について	佛敎學			2011	第53号		1-24	https://cir.nii.ac.jp/crid/1010000782157243138	
ISOGAI Ken'ichi	ウズベキスタンの「イスラーム法廷文書」	ユーラシア研究			2011	45		58-60	https://cir.nii.ac.jp/crid/1010000782158404994	
KUMO KAZUHIRO	タジキスタンの国際労働移民と海外送金:タジク移民は貧困削減的か	経済研究			2011	62巻2号		113-128	https://cir.nii.ac.jp/crid/1010003825804681985	
SEKI Keiko	カザフスタンの帰還民	新聞「日本とユーラシア」			2011				https://cir.nii.ac.jp/crid/1010282257015289728	
KONAGAYA Yuki	中央ユーラシアの社会主義的近代化-カザフスタンとモンゴルの対比から	中央アジア環境史			2011	3		5-22	https://cir.nii.ac.jp/crid/1010282257041681040	
OBIYA Chika	フジュムへの視線-1920 年代ソ連中央アジアにおける女性解放運動と現代	社会主義的近代化の経験			2011			98-122	https://cir.nii.ac.jp/crid/1010282257041681041	
KONAGAYA Yuki	中央ユーラシアにおける社会主義的近代化-モンゴルとカザフスタンの対比から	中央ユーラシアの環境史『激動の近現代』(窪田順平監修・渡邉三津子編)			2011	(臨川書店)		5-22	https://cir.nii.ac.jp/crid/1010282257041681292	
OBIYA Chika	「フジュム」への視線-1920年代ソ連中央アジアにおける女性解放運動と現代	社会主義的近代化の経験-幸せの実現と疎外(明石書店)(小長谷有紀・後藤正憲編)			2011			98-122	https://cir.nii.ac.jp/crid/1010282257041681300	
HOROSE Yoko	EUとコーカサス・中央アジア	羽場久美子・溝端佐登史編著『ロシア・拡大EU』ミネルヴァ書店			2011			243-264	https://cir.nii.ac.jp/crid/1010282257041813906	
YAMABE Nobuyoshi	中央アジアにおける禅観の実践について	駒沢大学仏教学部論集			2011	第42号		1-29	https://cir.nii.ac.jp/crid/1010282257045214592	
YAMABE Nobuyoshi	中央アジアにおける禅観の実践について	駒澤大學佛教学部論集			2011	42		1-29	https://cir.nii.ac.jp/crid/1010282257045214603	
HORIE Norio	移民大国ロシアの軌跡:中国と中央アジアからの労働移動に着目して	ロシア・東欧研究			2011	第39号		1-13	https://cir.nii.ac.jp/crid/1010282257051287556	
HORIE Norio	移民大国ロシアの軌跡:中国と中央アジアからの労働移動に着目して	ロシア・東欧学会			2011	第39号		1-13	https://cir.nii.ac.jp/crid/1010282257051287827	
OGIHARA Atsushi	Sholpan E. Karzhaubayeva, Saule A. Dikanbaeva: カザフスタン共和国における学校健康教育教科開発の動向と課題	幼少児健康教育研究			2011	17(1)		43-54	https://cir.nii.ac.jp/crid/1010282257074212608	
